env,board,sample_index,period_target_us,timestamp_us,delta_us,jitter_us
linux_rpi5,raspberry_pi_5,1,10000,10003,10003,3
linux_rpi5,raspberry_pi_5,2,10000,19995,9992,-8
linux_rpi5,raspberry_pi_5,3,10000,30010,10015,15
linux_rpi5,raspberry_pi_5,4,10000,39998,9988,-12
linux_rpi5,raspberry_pi_5,5,10000,50038,10040,40
linux_rpi5,raspberry_pi_5,6,10000,60013,9975,-25
linux_rpi5,raspberry_pi_5,7,10000,70020,10007,7
linux_rpi5,raspberry_pi_5,8,10000,80015,9995,-5
linux_rpi5,raspberry_pi_5,9,10000,90033,10018,18
linux_rpi5,raspberry_pi_5,10,10000,100003,9970,-30
linux_rpi5,raspberry_pi_5,11,10000,110058,10055,55
linux_rpi5,raspberry_pi_5,12,10000,120016,9958,-42
linux_rpi5,raspberry_pi_5,13,10000,130025,10009,9
linux_rpi5,raspberry_pi_5,14,10000,140019,9994,-6
linux_rpi5,raspberry_pi_5,15,10000,150041,10022,22
linux_rpi5,raspberry_pi_5,16,10000,160030,9989,-11
linux_rpi5,raspberry_pi_5,17,10000,170044,10014,14
linux_rpi5,raspberry_pi_5,18,10000,179984,9940,-60
linux_rpi5,raspberry_pi_5,19,10000,190012,10028,28
linux_rpi5,raspberry_pi_5,20,10000,199996,9984,-16
pico,raspberry_pi_pico,1,10000,10001,10001,1
pico,raspberry_pi_pico,2,10000,19999,9998,-2
pico,raspberry_pi_pico,3,10000,30002,10003,3
pico,raspberry_pi_pico,4,10000,40001,9999,-1
pico,raspberry_pi_pico,5,10000,50005,10004,4
pico,raspberry_pi_pico,6,10000,60002,9997,-3
pico,raspberry_pi_pico,7,10000,70004,10002,2
pico,raspberry_pi_pico,8,10000,80002,9998,-2
pico,raspberry_pi_pico,9,10000,90007,10005,5
pico,raspberry_pi_pico,10,10000,100003,9996,-4
pico,raspberry_pi_pico,11,10000,110006,10003,3
pico,raspberry_pi_pico,12,10000,120005,9999,-1
pico,raspberry_pi_pico,13,10000,130007,10002,2
pico,raspberry_pi_pico,14,10000,140005,9998,-2
pico,raspberry_pi_pico,15,10000,150009,10004,4
pico,raspberry_pi_pico,16,10000,160006,9997,-3
pico,raspberry_pi_pico,17,10000,170007,10001,1
pico,raspberry_pi_pico,18,10000,180005,9998,-2
pico,raspberry_pi_pico,19,10000,190008,10003,3
pico,raspberry_pi_pico,20,10000,200007,9999,-1
