env,board,sample_index,period_target_us,timestamp_us,delta_us,jitter_us
linux_rpi5,raspberry_pi_5,1,10000,136318332571,10055,55
linux_rpi5,raspberry_pi_5,2,10000,136318342569,9998,-2
linux_rpi5,raspberry_pi_5,3,10000,136318352570,10001,1
linux_rpi5,raspberry_pi_5,4,10000,136318362569,9999,-1
linux_rpi5,raspberry_pi_5,5,10000,136318372569,10000,0
linux_rpi5,raspberry_pi_5,6,10000,136318382571,10002,2
linux_rpi5,raspberry_pi_5,7,10000,136318392570,9999,-1
linux_rpi5,raspberry_pi_5,8,10000,136318402569,9999,-1
linux_rpi5,raspberry_pi_5,9,10000,136318412570,10001,1
linux_rpi5,raspberry_pi_5,10,10000,136318422569,9999,-1
linux_rpi5,raspberry_pi_5,11,10000,136318432569,10000,0
linux_rpi5,raspberry_pi_5,12,10000,136318442570,10001,1
linux_rpi5,raspberry_pi_5,13,10000,136318452570,10000,0
linux_rpi5,raspberry_pi_5,14,10000,136318462569,9999,-1
linux_rpi5,raspberry_pi_5,15,10000,136318472570,10001,1
linux_rpi5,raspberry_pi_5,16,10000,136318482569,9999,-1
linux_rpi5,raspberry_pi_5,17,10000,136318492569,10000,0
linux_rpi5,raspberry_pi_5,18,10000,136318502570,10001,1
linux_rpi5,raspberry_pi_5,19,10000,136318512569,9999,-1
linux_rpi5,raspberry_pi_5,20,10000,136318522569,10000,0
linux_rpi5,raspberry_pi_5,21,10000,136318532570,10001,1
linux_rpi5,raspberry_pi_5,22,10000,136318542569,9999,-1
linux_rpi5,raspberry_pi_5,23,10000,136318552569,10000,0
linux_rpi5,raspberry_pi_5,24,10000,136318562569,10000,0
linux_rpi5,raspberry_pi_5,25,10000,136318572569,10000,0
linux_rpi5,raspberry_pi_5,26,10000,136318582570,10001,1
linux_rpi5,raspberry_pi_5,27,10000,136318592569,9999,-1
linux_rpi5,raspberry_pi_5,28,10000,136318602569,10000,0
linux_rpi5,raspberry_pi_5,29,10000,136318612570,10001,1
linux_rpi5,raspberry_pi_5,30,10000,136318622570,10000,0
linux_rpi5,raspberry_pi_5,31,10000,136318632569,9999,-1
linux_rpi5,raspberry_pi_5,32,10000,136318642569,10000,0
linux_rpi5,raspberry_pi_5,33,10000,136318652570,10001,1
linux_rpi5,raspberry_pi_5,34,10000,136318662569,9999,-1
linux_rpi5,raspberry_pi_5,35,10000,136318672570,10001,1
linux_rpi5,raspberry_pi_5,36,10000,136318682569,9999,-1
linux_rpi5,raspberry_pi_5,37,10000,136318692569,10000,0
linux_rpi5,raspberry_pi_5,38,10000,136318702570,10001,1
linux_rpi5,raspberry_pi_5,39,10000,136318712569,9999,-1
linux_rpi5,raspberry_pi_5,40,10000,136318722569,10000,0
linux_rpi5,raspberry_pi_5,41,10000,136318732570,10001,1
linux_rpi5,raspberry_pi_5,42,10000,136318742569,9999,-1
linux_rpi5,raspberry_pi_5,43,10000,136318752569,10000,0
linux_rpi5,raspberry_pi_5,44,10000,136318762570,10001,1
linux_rpi5,raspberry_pi_5,45,10000,136318772569,9999,-1
linux_rpi5,raspberry_pi_5,46,10000,136318782569,10000,0
linux_rpi5,raspberry_pi_5,47,10000,136318792570,10001,1
linux_rpi5,raspberry_pi_5,48,10000,136318802569,9999,-1
linux_rpi5,raspberry_pi_5,49,10000,136318812570,10001,1
linux_rpi5,raspberry_pi_5,50,10000,136318822569,9999,-1
linux_rpi5,raspberry_pi_5,51,10000,136318832569,10000,0
linux_rpi5,raspberry_pi_5,52,10000,136318842569,10000,0
linux_rpi5,raspberry_pi_5,53,10000,136318852570,10001,1
linux_rpi5,raspberry_pi_5,54,10000,136318862569,9999,-1
linux_rpi5,raspberry_pi_5,55,10000,136318872569,10000,0
linux_rpi5,raspberry_pi_5,56,10000,136318882569,10000,0
linux_rpi5,raspberry_pi_5,57,10000,136318892569,10000,0
linux_rpi5,raspberry_pi_5,58,10000,136318902569,10000,0
linux_rpi5,raspberry_pi_5,59,10000,136318912569,10000,0
linux_rpi5,raspberry_pi_5,60,10000,136318922570,10001,1
linux_rpi5,raspberry_pi_5,61,10000,136318932569,9999,-1
linux_rpi5,raspberry_pi_5,62,10000,136318942569,10000,0
linux_rpi5,raspberry_pi_5,63,10000,136318952569,10000,0
linux_rpi5,raspberry_pi_5,64,10000,136318962569,10000,0
linux_rpi5,raspberry_pi_5,65,10000,136318972569,10000,0
linux_rpi5,raspberry_pi_5,66,10000,136318982570,10001,1
linux_rpi5,raspberry_pi_5,67,10000,136318992570,10000,0
linux_rpi5,raspberry_pi_5,68,10000,136319002569,9999,-1
linux_rpi5,raspberry_pi_5,69,10000,136319012570,10001,1
linux_rpi5,raspberry_pi_5,70,10000,136319022569,9999,-1
linux_rpi5,raspberry_pi_5,71,10000,136319032569,10000,0
linux_rpi5,raspberry_pi_5,72,10000,136319042570,10001,1
linux_rpi5,raspberry_pi_5,73,10000,136319052570,10000,0
linux_rpi5,raspberry_pi_5,74,10000,136319062570,10000,0
linux_rpi5,raspberry_pi_5,75,10000,136319072570,10000,0
linux_rpi5,raspberry_pi_5,76,10000,136319082569,9999,-1
linux_rpi5,raspberry_pi_5,77,10000,136319092569,10000,0
linux_rpi5,raspberry_pi_5,78,10000,136319102569,10000,0
linux_rpi5,raspberry_pi_5,79,10000,136319112570,10001,1
linux_rpi5,raspberry_pi_5,80,10000,136319122570,10000,0
