env,board,sample_index,period_target_us,timestamp_us,delta_us,jitter_us
pico,raspberry_pi_pico,1,10000,10001,10001,1
pico,raspberry_pi_pico,2,10000,19999,9998,-2
pico,raspberry_pi_pico,3,10000,30002,10003,3
pico,raspberry_pi_pico,4,10000,40001,9999,-1
pico,raspberry_pi_pico,5,10000,50005,10004,4
pico,raspberry_pi_pico,6,10000,60002,9997,-3
pico,raspberry_pi_pico,7,10000,70004,10002,2
pico,raspberry_pi_pico,8,10000,80002,9998,-2
pico,raspberry_pi_pico,9,10000,90007,10005,5
pico,raspberry_pi_pico,10,10000,100003,9996,-4
pico,raspberry_pi_pico,11,10000,110006,10003,3
pico,raspberry_pi_pico,12,10000,120005,9999,-1
pico,raspberry_pi_pico,13,10000,130007,10002,2
pico,raspberry_pi_pico,14,10000,140005,9998,-2
pico,raspberry_pi_pico,15,10000,150009,10004,4
pico,raspberry_pi_pico,16,10000,160006,9997,-3
pico,raspberry_pi_pico,17,10000,170007,10001,1
pico,raspberry_pi_pico,18,10000,180005,9998,-2
pico,raspberry_pi_pico,19,10000,190008,10003,3
pico,raspberry_pi_pico,20,10000,200007,9999,-1
