mode,board,sample_index,period_target_us,timestamp_us,delta_us,jitter_us
baremetal,pico,1,10000,2000674,0,0
baremetal,pico,2,10000,2011563,10889,889
baremetal,pico,3,10000,2022445,10882,882
baremetal,pico,4,10000,2033326,10881,881
baremetal,pico,5,10000,2041487,8161,-1839
baremetal,pico,6,10000,2052368,10881,881
baremetal,pico,7,10000,2063250,10882,882
baremetal,pico,8,10000,2071411,8161,-1839
baremetal,pico,9,10000,2082292,10881,881
baremetal,pico,10,10000,2093173,10881,881
baremetal,pico,11,10000,2101334,8161,-1839
baremetal,pico,12,10000,2112215,10881,881
baremetal,pico,13,10000,2123097,10882,882
baremetal,pico,14,10000,2131258,8161,-1839
baremetal,pico,15,10000,2142139,10881,881
baremetal,pico,16,10000,2153020,10881,881
baremetal,pico,17,10000,2161181,8161,-1839
baremetal,pico,18,10000,2172063,10882,882
baremetal,pico,19,10000,2182944,10881,881
baremetal,pico,20,10000,2191105,8161,-1839
baremetal,pico,21,10000,2201986,10881,881
baremetal,pico,22,10000,2212867,10881,881
baremetal,pico,23,10000,2221028,8161,-1839
baremetal,pico,24,10000,2231910,10882,882
baremetal,pico,25,10000,2242791,10881,881
baremetal,pico,26,10000,2250952,8161,-1839
baremetal,pico,27,10000,2261833,10881,881
baremetal,pico,28,10000,2272715,10882,882
baremetal,pico,29,10000,2280876,8161,-1839
baremetal,pico,30,10000,2291757,10881,881
baremetal,pico,31,10000,2302638,10881,881
baremetal,pico,32,10000,2310799,8161,-1839
baremetal,pico,33,10000,2321680,10881,881
baremetal,pico,34,10000,2332562,10882,882
baremetal,pico,35,10000,2340723,8161,-1839
baremetal,pico,36,10000,2351604,10881,881
baremetal,pico,37,10000,2362485,10881,881
baremetal,pico,38,10000,2373367,10882,882
baremetal,pico,39,10000,2381528,8161,-1839
baremetal,pico,40,10000,2392409,10881,881
baremetal,pico,41,10000,2403290,10881,881
baremetal,pico,42,10000,2411451,8161,-1839
baremetal,pico,43,10000,2422332,10881,881
baremetal,pico,44,10000,2433214,10882,882
baremetal,pico,45,10000,2441375,8161,-1839
baremetal,pico,46,10000,2452256,10881,881
baremetal,pico,47,10000,2463137,10881,881
baremetal,pico,48,10000,2471298,8161,-1839
baremetal,pico,49,10000,2482180,10882,882
