mode,board,sample_index,period_target_us,timestamp_us,delta_us,jitter_us,queue_latency_us,deadline_miss_count
freertos,pico,1,10000,973,0,0,80,0
freertos,pico,2,10000,10970,9997,-3,10,0
freertos,pico,3,10000,20949,9979,-21,7,0
freertos,pico,4,10000,30949,10000,0,7,0
freertos,pico,5,10000,40949,10000,0,7,0
freertos,pico,6,10000,50949,10000,0,7,0
freertos,pico,7,10000,60949,10000,0,7,0
freertos,pico,8,10000,70949,10000,0,7,0
freertos,pico,9,10000,80949,10000,0,7,0
freertos,pico,10,10000,90949,10000,0,7,0
freertos,pico,11,10000,100949,10000,0,7,0
freertos,pico,12,10000,110951,10002,2,8,0
freertos,pico,13,10000,120949,9998,-2,7,0
freertos,pico,14,10000,130949,10000,0,7,0
freertos,pico,15,10000,140949,10000,0,7,0
freertos,pico,16,10000,150949,10000,0,7,0
freertos,pico,17,10000,160949,10000,0,7,0
freertos,pico,18,10000,170949,10000,0,7,0
freertos,pico,19,10000,180949,10000,0,7,0
freertos,pico,20,10000,190949,10000,0,7,0
freertos,pico,21,10000,200949,10000,0,7,0
freertos,pico,22,10000,210949,10000,0,7,0
freertos,pico,23,10000,220949,10000,0,7,0
freertos,pico,24,10000,230950,10001,1,9,0
freertos,pico,25,10000,240949,9999,-1,7,0
freertos,pico,26,10000,250949,10000,0,7,0
freertos,pico,27,10000,260949,10000,0,7,0
freertos,pico,28,10000,270949,10000,0,7,0
freertos,pico,29,10000,280949,10000,0,7,0
freertos,pico,30,10000,290949,10000,0,7,0
freertos,pico,31,10000,300949,10000,0,7,0
freertos,pico,32,10000,310949,10000,0,7,0
freertos,pico,33,10000,320949,10000,0,7,0
freertos,pico,34,10000,330949,10000,0,7,0
freertos,pico,35,10000,340949,10000,0,7,0
freertos,pico,36,10000,350949,10000,0,7,0
freertos,pico,37,10000,360949,10000,0,7,0
freertos,pico,38,10000,370950,10001,1,9,0
freertos,pico,39,10000,380950,10000,0,11,0
freertos,pico,40,10000,390949,9999,-1,9,0
freertos,pico,41,10000,400949,10000,0,7,0
freertos,pico,42,10000,410949,10000,0,7,0
freertos,pico,43,10000,420951,10002,2,15,0
freertos,pico,44,10000,430949,9998,-2,8,0
freertos,pico,45,10000,440949,10000,0,7,0
freertos,pico,46,10000,450949,10000,0,7,0
freertos,pico,47,10000,460949,10000,0,9,0
freertos,pico,48,10000,470949,10000,0,7,0
freertos,pico,49,10000,480949,10000,0,7,0
freertos,pico,50,10000,490949,10000,0,7,0
freertos,pico,51,10000,500949,10000,0,7,0
freertos,pico,52,10000,510949,10000,0,7,0
freertos,pico,53,10000,520949,10000,0,7,0
freertos,pico,54,10000,530949,10000,0,7,0
freertos,pico,55,10000,540949,10000,0,7,0
freertos,pico,56,10000,550949,10000,0,7,0
freertos,pico,57,10000,560949,10000,0,7,0
freertos,pico,58,10000,570949,10000,0,7,0
freertos,pico,59,10000,580949,10000,0,7,0
freertos,pico,60,10000,590949,10000,0,7,0
freertos,pico,61,10000,600949,10000,0,7,0
freertos,pico,62,10000,610949,10000,0,7,0
freertos,pico,63,10000,620949,10000,0,7,0
freertos,pico,64,10000,630949,10000,0,7,0
freertos,pico,65,10000,640949,10000,0,7,0
freertos,pico,66,10000,650949,10000,0,7,0
freertos,pico,67,10000,660949,10000,0,7,0
freertos,pico,68,10000,670949,10000,0,7,0
freertos,pico,69,10000,680949,10000,0,7,0
freertos,pico,70,10000,690949,10000,0,7,0
freertos,pico,71,10000,700949,10000,0,7,0
freertos,pico,72,10000,710949,10000,0,7,0
freertos,pico,73,10000,720949,10000,0,7,0
freertos,pico,74,10000,730949,10000,0,7,0
freertos,pico,75,10000,740949,10000,0,7,0
freertos,pico,76,10000,750949,10000,0,7,0
freertos,pico,77,10000,760949,10000,0,7,0
freertos,pico,78,10000,770949,10000,0,7,0
freertos,pico,79,10000,780949,10000,0,7,0
freertos,pico,80,10000,790949,10000,0,7,0
freertos,pico,81,10000,800949,10000,0,7,0
freertos,pico,82,10000,810949,10000,0,7,0
freertos,pico,83,10000,820949,10000,0,7,0
freertos,pico,84,10000,830949,10000,0,7,0
freertos,pico,85,10000,840949,10000,0,7,0
freertos,pico,86,10000,850949,10000,0,7,0
freertos,pico,87,10000,860949,10000,0,7,0
freertos,pico,88,10000,870949,10000,0,7,0
freertos,pico,89,10000,880949,10000,0,7,0
freertos,pico,90,10000,890949,10000,0,7,0
freertos,pico,91,10000,900949,10000,0,7,0
freertos,pico,92,10000,910949,10000,0,7,0
freertos,pico,93,10000,920949,10000,0,7,0
freertos,pico,94,10000,930949,10000,0,7,0
freertos,pico,95,10000,940949,10000,0,7,0
freertos,pico,96,10000,950949,10000,0,7,0
freertos,pico,97,10000,960949,10000,0,7,0
freertos,pico,98,10000,970949,10000,0,7,0
freertos,pico,99,10000,980949,10000,0,7,0
freertos,pico,100,10000,990949,10000,0,7,0
freertos,pico,101,10000,1000949,10000,0,7,0
freertos,pico,102,10000,1010949,10000,0,7,0
freertos,pico,103,10000,1020949,10000,0,7,0
freertos,pico,104,10000,1030949,10000,0,7,0
freertos,pico,105,10000,1040949,10000,0,7,0
freertos,pico,106,10000,1050949,10000,0,7,0
freertos,pico,107,10000,1060949,10000,0,7,0
freertos,pico,108,10000,1070949,10000,0,7,0
freertos,pico,109,10000,1080949,10000,0,7,0
freertos,pico,110,10000,1090949,10000,0,7,0
freertos,pico,111,10000,1100949,10000,0,7,0
freertos,pico,112,10000,1110949,10000,0,7,0
freertos,pico,113,10000,1120949,10000,0,7,0
freertos,pico,114,10000,1130949,10000,0,7,0
freertos,pico,115,10000,1140949,10000,0,7,0
freertos,pico,116,10000,1150949,10000,0,7,0
freertos,pico,117,10000,1160949,10000,0,7,0
freertos,pico,118,10000,1170949,10000,0,7,0
freertos,pico,119,10000,1180949,10000,0,7,0
freertos,pico,120,10000,1190949,10000,0,7,0
freertos,pico,121,10000,1200949,10000,0,7,0
freertos,pico,122,10000,1210949,10000,0,7,0
freertos,pico,123,10000,1220949,10000,0,7,0
freertos,pico,124,10000,1230949,10000,0,7,0
freertos,pico,125,10000,1240949,10000,0,7,0
freertos,pico,126,10000,1250949,10000,0,7,0
freertos,pico,127,10000,1260949,10000,0,7,0
freertos,pico,128,10000,1270949,10000,0,7,0
freertos,pico,129,10000,1280949,10000,0,7,0
freertos,pico,130,10000,1290949,10000,0,7,0
freertos,pico,131,10000,1300949,10000,0,7,0
freertos,pico,132,10000,1310949,10000,0,7,0
freertos,pico,133,10000,1320949,10000,0,7,0
freertos,pico,134,10000,1330949,10000,0,7,0
freertos,pico,135,10000,1340949,10000,0,7,0
freertos,pico,136,10000,1350949,10000,0,7,0
freertos,pico,137,10000,1360949,10000,0,7,0
freertos,pico,138,10000,1370949,10000,0,7,0
freertos,pico,139,10000,1380949,10000,0,7,0
freertos,pico,140,10000,1390949,10000,0,7,0
freertos,pico,141,10000,1400949,10000,0,7,0
freertos,pico,142,10000,1410949,10000,0,7,0
freertos,pico,143,10000,1420949,10000,0,7,0
freertos,pico,144,10000,1430949,10000,0,7,0
freertos,pico,145,10000,1440949,10000,0,7,0
freertos,pico,146,10000,1450949,10000,0,7,0
freertos,pico,147,10000,1460949,10000,0,7,0
freertos,pico,148,10000,1470949,10000,0,7,0
freertos,pico,149,10000,1480949,10000,0,7,0
freertos,pico,150,10000,1490949,10000,0,7,0
freertos,pico,151,10000,1500949,10000,0,7,0
freertos,pico,152,10000,1510949,10000,0,7,0
freertos,pico,153,10000,1520949,10000,0,7,0
freertos,pico,154,10000,1530949,10000,0,7,0
freertos,pico,155,10000,1540949,10000,0,7,0
freertos,pico,156,10000,1550949,10000,0,7,0
freertos,pico,157,10000,1560949,10000,0,7,0
freertos,pico,158,10000,1570949,10000,0,7,0
freertos,pico,159,10000,1580949,10000,0,7,0
freertos,pico,160,10000,1590949,10000,0,7,0
freertos,pico,161,10000,1600949,10000,0,7,0
freertos,pico,162,10000,1610949,10000,0,7,0
freertos,pico,163,10000,1620949,10000,0,7,0
freertos,pico,164,10000,1630949,10000,0,7,0
freertos,pico,165,10000,1640949,10000,0,7,0
freertos,pico,166,10000,1650949,10000,0,7,0
freertos,pico,167,10000,1660949,10000,0,7,0
freertos,pico,168,10000,1670949,10000,0,7,0
freertos,pico,169,10000,1680949,10000,0,7,0
freertos,pico,170,10000,1690949,10000,0,7,0
freertos,pico,171,10000,1700949,10000,0,7,0
freertos,pico,172,10000,1710949,10000,0,7,0
freertos,pico,173,10000,1720949,10000,0,7,0
freertos,pico,174,10000,1730949,10000,0,7,0
freertos,pico,175,10000,1740949,10000,0,7,0
freertos,pico,176,10000,1750949,10000,0,7,0
freertos,pico,177,10000,1760949,10000,0,7,0
freertos,pico,178,10000,1770949,10000,0,7,0
freertos,pico,179,10000,1780949,10000,0,7,0
freertos,pico,180,10000,1790949,10000,0,7,0
freertos,pico,181,10000,1800949,10000,0,7,0
freertos,pico,182,10000,1810949,10000,0,7,0
freertos,pico,183,10000,1820949,10000,0,7,0
freertos,pico,184,10000,1830949,10000,0,7,0
freertos,pico,185,10000,1840949,10000,0,7,0
freertos,pico,186,10000,1850949,10000,0,7,0
freertos,pico,187,10000,1860949,10000,0,7,0
freertos,pico,188,10000,1870949,10000,0,7,0
freertos,pico,189,10000,1880949,10000,0,7,0
freertos,pico,190,10000,1890949,10000,0,7,0
freertos,pico,191,10000,1900949,10000,0,7,0
freertos,pico,192,10000,1910949,10000,0,7,0
freertos,pico,193,10000,1920949,10000,0,7,0
freertos,pico,194,10000,1930949,10000,0,7,0
freertos,pico,195,10000,1940949,10000,0,7,0
freertos,pico,196,10000,1950949,10000,0,7,0
freertos,pico,197,10000,1960949,10000,0,7,0
freertos,pico,198,10000,1970949,10000,0,7,0
freertos,pico,199,10000,1980949,10000,0,7,0
freertos,pico,200,10000,1990949,10000,0,7,0
freertos,pico,201,10000,2000949,10000,0,7,0
freertos,pico,202,10000,2010949,10000,0,7,0
freertos,pico,203,10000,2020949,10000,0,7,0
freertos,pico,204,10000,2030949,10000,0,7,0
freertos,pico,205,10000,2040949,10000,0,7,0
freertos,pico,206,10000,2050949,10000,0,7,0
freertos,pico,207,10000,2060949,10000,0,7,0
freertos,pico,208,10000,2070949,10000,0,7,0
freertos,pico,209,10000,2080949,10000,0,7,0
freertos,pico,210,10000,2090949,10000,0,7,0
freertos,pico,211,10000,2100949,10000,0,7,0
freertos,pico,212,10000,2110949,10000,0,7,0
freertos,pico,213,10000,2120949,10000,0,7,0
freertos,pico,214,10000,2130949,10000,0,7,0
freertos,pico,215,10000,2140949,10000,0,7,0
freertos,pico,216,10000,2150949,10000,0,7,0
freertos,pico,217,10000,2160949,10000,0,7,0
freertos,pico,218,10000,2170949,10000,0,7,0
freertos,pico,219,10000,2180949,10000,0,7,0
freertos,pico,220,10000,2190949,10000,0,7,0
freertos,pico,221,10000,2200949,10000,0,7,0
freertos,pico,222,10000,2210949,10000,0,7,0
freertos,pico,223,10000,2220949,10000,0,7,0
freertos,pico,224,10000,2230949,10000,0,7,0
freertos,pico,225,10000,2240949,10000,0,7,0
freertos,pico,226,10000,2250949,10000,0,7,0
freertos,pico,227,10000,2260949,10000,0,7,0
freertos,pico,228,10000,2270949,10000,0,7,0
freertos,pico,229,10000,2280949,10000,0,7,0
freertos,pico,230,10000,2290949,10000,0,7,0
freertos,pico,231,10000,2300949,10000,0,7,0
freertos,pico,232,10000,2310949,10000,0,7,0
freertos,pico,233,10000,2320949,10000,0,7,0
freertos,pico,234,10000,2330949,10000,0,7,0
freertos,pico,235,10000,2340949,10000,0,7,0
freertos,pico,236,10000,2350949,10000,0,7,0
freertos,pico,237,10000,2360949,10000,0,7,0
freertos,pico,238,10000,2370949,10000,0,7,0
freertos,pico,239,10000,2380949,10000,0,7,0
freertos,pico,240,10000,2390949,10000,0,7,0
freertos,pico,241,10000,2400949,10000,0,7,0
freertos,pico,242,10000,2410949,10000,0,7,0
freertos,pico,243,10000,2420949,10000,0,7,0
freertos,pico,244,10000,2430949,10000,0,7,0
freertos,pico,245,10000,2440949,10000,0,7,0
freertos,pico,246,10000,2450949,10000,0,7,0
freertos,pico,247,10000,2460949,10000,0,7,0
freertos,pico,248,10000,2470949,10000,0,7,0
freertos,pico,249,10000,2480949,10000,0,7,0
freertos,pico,250,10000,2490949,10000,0,7,0
freertos,pico,251,10000,2500949,10000,0,7,0
freertos,pico,252,10000,2510949,10000,0,7,0
freertos,pico,253,10000,2520949,10000,0,7,0
freertos,pico,254,10000,2530949,10000,0,7,0
freertos,pico,255,10000,2540949,10000,0,7,0
freertos,pico,256,10000,2550949,10000,0,7,0
freertos,pico,257,10000,2560949,10000,0,7,0
freertos,pico,258,10000,2570949,10000,0,7,0
freertos,pico,259,10000,2580949,10000,0,7,0
freertos,pico,260,10000,2590949,10000,0,7,0
freertos,pico,261,10000,2600949,10000,0,7,0
freertos,pico,262,10000,2610949,10000,0,7,0
freertos,pico,263,10000,2620949,10000,0,7,0
freertos,pico,264,10000,2630949,10000,0,7,0
freertos,pico,265,10000,2640949,10000,0,7,0
freertos,pico,266,10000,2650949,10000,0,7,0
freertos,pico,267,10000,2660949,10000,0,7,0
freertos,pico,268,10000,2670949,10000,0,7,0
freertos,pico,269,10000,2680949,10000,0,7,0
freertos,pico,270,10000,2690949,10000,0,7,0
freertos,pico,271,10000,2700949,10000,0,7,0
freertos,pico,272,10000,2710949,10000,0,7,0
freertos,pico,273,10000,2720949,10000,0,7,0
freertos,pico,274,10000,2730949,10000,0,7,0
freertos,pico,275,10000,2740949,10000,0,7,0
freertos,pico,276,10000,2750949,10000,0,7,0
freertos,pico,277,10000,2760949,10000,0,7,0
freertos,pico,278,10000,2770949,10000,0,7,0
freertos,pico,279,10000,2780949,10000,0,7,0
freertos,pico,280,10000,2790949,10000,0,7,0
freertos,pico,281,10000,2800949,10000,0,7,0
freertos,pico,282,10000,2810949,10000,0,7,0
freertos,pico,283,10000,2820949,10000,0,7,0
freertos,pico,284,10000,2830949,10000,0,7,0
freertos,pico,285,10000,2840949,10000,0,7,0
freertos,pico,286,10000,2850949,10000,0,7,0
freertos,pico,287,10000,2860949,10000,0,7,0
freertos,pico,288,10000,2870949,10000,0,7,0
freertos,pico,289,10000,2880949,10000,0,7,0
freertos,pico,290,10000,2890949,10000,0,7,0
freertos,pico,291,10000,2900949,10000,0,7,0
freertos,pico,292,10000,2910949,10000,0,7,0
freertos,pico,293,10000,2920949,10000,0,7,0
freertos,pico,294,10000,2930949,10000,0,7,0
freertos,pico,295,10000,2940949,10000,0,7,0
freertos,pico,296,10000,2950949,10000,0,7,0
freertos,pico,297,10000,2960949,10000,0,7,0
freertos,pico,298,10000,2970949,10000,0,7,0
freertos,pico,299,10000,2980949,10000,0,7,0
freertos,pico,300,10000,2990949,10000,0,7,0
freertos,pico,301,10000,3000949,10000,0,7,0
freertos,pico,302,10000,3010949,10000,0,7,0
freertos,pico,303,10000,3020949,10000,0,7,0
freertos,pico,304,10000,3030949,10000,0,7,0
freertos,pico,305,10000,3040949,10000,0,7,0
freertos,pico,306,10000,3050949,10000,0,7,0
freertos,pico,307,10000,3060949,10000,0,7,0
freertos,pico,308,10000,3070949,10000,0,7,0
freertos,pico,309,10000,3080949,10000,0,7,0
freertos,pico,310,10000,3090949,10000,0,7,0
freertos,pico,311,10000,3100949,10000,0,7,0
freertos,pico,312,10000,3110949,10000,0,7,0
freertos,pico,313,10000,3120949,10000,0,7,0
freertos,pico,314,10000,3130949,10000,0,7,0
freertos,pico,315,10000,3140949,10000,0,7,0
freertos,pico,316,10000,3150949,10000,0,7,0
freertos,pico,317,10000,3160949,10000,0,7,0
freertos,pico,318,10000,3170949,10000,0,7,0
freertos,pico,319,10000,3180949,10000,0,7,0
freertos,pico,320,10000,3190949,10000,0,7,0
freertos,pico,321,10000,3200949,10000,0,7,0
freertos,pico,322,10000,3210949,10000,0,7,0
