rcv_time_ns,seq,send_time_ns,latency_ns,missing_delta,parse_status
1916733988277331,0,1916733988221739,55592,0,OK
1916733988277331,1,1916733988221739,55592,0,OK
1916733988277331,2,1916733988221739,55592,0,OK
1916734018233638,3,1916734018220471,13167,0,OK
1916734018233638,4,1916734018220471,13167,0,OK
1916734018233638,5,1916734018220471,13167,0,OK
1916734048232648,6,1916734048220574,12074,0,OK
1916734048232648,7,1916734048220574,12074,0,OK
1916734048232648,8,1916734048220574,12074,0,OK
1916734078231769,9,1916734078218954,12815,0,OK
1916734078231769,10,1916734078218954,12815,0,OK
1916734078231769,11,1916734078218954,12815,0,OK
1916734108237983,12,1916734108226316,11667,0,OK
1916734108237983,13,1916734108226316,11667,0,OK
1916734108237983,14,1916734108226316,11667,0,OK
1916734138230586,15,1916734138219197,11389,0,OK
1916734138230586,16,1916734138219197,11389,0,OK
1916734138230586,17,1916734138219197,11389,0,OK
1916734168230133,18,1916734168219114,11019,0,OK
1916734168230133,19,1916734168219114,11019,0,OK
1916734168230133,20,1916734168219114,11019,0,OK
1916734198230236,21,1916734198219069,11167,0,OK
1916734198230236,22,1916734198219069,11167,0,OK
1916734198230236,23,1916734198219069,11167,0,OK
1916734228231227,24,1916734228220116,11111,0,OK
1916734228231227,25,1916734228220116,11111,0,OK
1916734228231227,26,1916734228220116,11111,0,OK
1916734258230311,27,1916734258218867,11444,0,OK
1916734258230311,28,1916734258218867,11444,0,OK
1916734258230311,29,1916734258218867,11444,0,OK
1916734288230229,30,1916734288219025,11204,0,OK
1916734288230229,31,1916734288219025,11204,0,OK
1916734288230229,32,1916734288219025,11204,0,OK
1916734318229813,33,1916734318218869,10944,0,OK
1916734318229813,34,1916734318218869,10944,0,OK
1916734318229813,35,1916734318218869,10944,0,OK
1916734348234323,36,1916734348223083,11240,0,OK
1916734348234323,37,1916734348223083,11240,0,OK
1916734348234323,38,1916734348223083,11240,0,OK
1916734378229834,39,1916734378219000,10834,0,OK
1916734378229834,40,1916734378219000,10834,0,OK
1916734378229834,41,1916734378219000,10834,0,OK
1916734408230770,42,1916734408219140,11630,0,OK
1916734408230770,43,1916734408219140,11630,0,OK
1916734408230770,44,1916734408219140,11630,0,OK
1916734438229687,45,1916734438218928,10759,0,OK
1916734438229687,46,1916734438218928,10759,0,OK
1916734438229687,47,1916734438218928,10759,0,OK
1916734468230253,48,1916734468219827,10426,0,OK
1916734468230253,49,1916734468219827,10426,0,OK
1916734468230253,50,1916734468219827,10426,0,OK
1916734498229800,51,1916734498218911,10889,0,OK
1916734498229800,52,1916734498218911,10889,0,OK
1916734498229800,53,1916734498218911,10889,0,OK
1916734528229866,54,1916734528219088,10778,0,OK
1916734528229866,55,1916734528219088,10778,0,OK
1916734528229866,56,1916734528219088,10778,0,OK
1916734558229487,57,1916734558218857,10630,0,OK
1916734558229487,58,1916734558218857,10630,0,OK
1916734558229487,59,1916734558218857,10630,0,OK
1916734588229553,60,1916734588218608,10945,0,OK
1916734588229553,61,1916734588218608,10945,0,OK
1916734588229553,62,1916734588218608,10945,0,OK
1916734618229767,63,1916734618218989,10778,0,OK
1916734618229767,64,1916734618218989,10778,0,OK
1916734618229767,65,1916734618218989,10778,0,OK
1916734648229980,66,1916734648219017,10963,0,OK
1916734648229980,67,1916734648219017,10963,0,OK
1916734648229980,68,1916734648219017,10963,0,OK
1916734678229990,69,1916734678219250,10740,0,OK
1916734678229990,70,1916734678219250,10740,0,OK
1916734678229990,71,1916734678219250,10740,0,OK
1916734708234797,72,1916734708223797,11000,0,OK
1916734708234797,73,1916734708223797,11000,0,OK
1916734708234797,74,1916734708223797,11000,0,OK
1916734738229492,75,1916734738218844,10648,0,OK
1916734738229492,76,1916734738218844,10648,0,OK
1916734738229492,77,1916734738218844,10648,0,OK
1916734768229928,78,1916734768219169,10759,0,OK
1916734768229928,79,1916734768219169,10759,0,OK
1916734768229928,80,1916734768219169,10759,0,OK
1916734798230309,81,1916734798218809,11500,0,OK
1916734798230309,82,1916734798218809,11500,0,OK
1916734798230309,83,1916734798218809,11500,0,OK
1916734828233689,84,1916734828222375,11314,0,OK
1916734828233689,85,1916734828222375,11314,0,OK
1916734828233689,86,1916734828222375,11314,0,OK
1916734858230866,87,1916734858219366,11500,0,OK
1916734858230866,88,1916734858219366,11500,0,OK
1916734858230866,89,1916734858219366,11500,0,OK
1916734888230117,90,1916734888219062,11055,0,OK
