rate_hz,trial,sample_count,ok_count,parse_error_count,missing_delta_total,first_seq,last_seq,observed_span,missing_rate,parse_error_rate,effective_rx_hz,rx_1sec_rows,rx_pps_mean,rx_pps_max,rx_cpu_pct_mean,rx_cpu_pct_max,tx_stats_rows,tx_pps_mean,tx_pps_max,tx_cpu_pct_mean,tx_cpu_pct_max,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,stddev_latency_ms,last_latency_ms
50,1,504,504,0,0,0,503,504,0.00000000,0.00000000,50.400,2,8.500,17.000,0.020,0.040,11,16.727,17.000,0.032,0.040,0.020192,0.017297,0.037667,0.054055,0.193925,0.014833,0.193925
50,2,504,504,0,0,0,503,504,0.00000000,0.00000000,50.400,12,14.000,17.000,0.027,0.040,10,16.700,17.000,0.028,0.030,0.018910,0.016537,0.038000,0.061555,0.084704,0.009391,0.084704
50,3,504,504,0,0,0,503,504,0.00000000,0.00000000,50.400,12,14.000,17.000,0.028,0.040,10,16.700,17.000,0.027,0.030,0.018721,0.016296,0.037518,0.056649,0.193334,0.015064,0.193334
200,1,2004,2004,0,0,0,2003,2004,0.00000000,0.00000000,200.400,12,55.667,67.000,0.098,0.130,10,66.700,67.000,0.102,0.110,0.015514,0.015130,0.019241,0.039352,0.202092,0.008239,0.202092
200,2,2004,2004,0,0,0,2003,2004,0.00000000,0.00000000,200.400,12,55.667,67.000,0.104,0.130,10,66.700,67.000,0.106,0.110,0.016292,0.015481,0.020185,0.040000,0.192889,0.007821,0.192889
200,3,2004,2004,0,0,0,2003,2004,0.00000000,0.00000000,200.400,12,55.667,67.000,0.084,0.130,10,66.700,67.000,0.085,0.110,0.015913,0.011241,0.019611,0.039000,1.713241,0.066090,0.148667
500,1,5004,5004,0,0,0,5003,5004,0.00000000,0.00000000,500.400,12,139.000,167.000,0.239,0.310,10,166.700,167.000,0.240,0.270,0.014776,0.015148,0.019389,0.023352,0.202592,0.005922,0.202592
500,2,5004,5004,0,0,0,5003,5004,0.00000000,0.00000000,500.400,12,139.000,167.000,0.255,0.310,10,166.700,167.000,0.261,0.270,0.015846,0.015037,0.019018,0.028389,0.205667,0.006435,0.205667
500,3,5004,5004,0,0,0,5003,5004,0.00000000,0.00000000,500.400,12,139.000,167.000,0.252,0.310,10,166.700,167.000,0.270,0.270,0.017513,0.015333,0.019185,0.027148,2.503777,0.061207,0.206148
1000,1,10005,10005,0,0,0,10004,10005,0.00000000,0.00000000,1000.500,12,277.917,334.000,0.445,0.550,10,333.400,334.000,0.501,0.520,0.014842,0.014889,0.016092,0.020018,0.188481,0.003732,0.188481
1000,2,10005,10005,0,0,0,10004,10005,0.00000000,0.00000000,1000.500,12,277.917,334.000,0.443,0.560,10,333.400,334.000,0.489,0.530,0.014634,0.015111,0.016204,0.020185,0.198055,0.004055,0.198055
1000,3,10005,10005,0,0,0,10004,10005,0.00000000,0.00000000,1000.500,12,277.917,334.000,0.402,0.510,10,333.400,334.000,0.456,0.510,0.013815,0.014518,0.015648,0.019834,0.202185,0.004205,0.202185
10000,1,100005,100005,0,0,0,100004,100005,0.00000000,0.00000000,10000.500,12,2777.917,3334.000,3.683,4.580,10,3333.400,3334.000,4.333,4.680,0.013011,0.013555,0.014259,0.015111,0.191926,0.002094,0.191926
10000,2,100005,100005,0,0,0,100004,100005,0.00000000,0.00000000,10000.500,12,2777.917,3334.000,3.394,4.160,10,3333.400,3334.000,4.160,4.640,0.012915,0.013426,0.014074,0.014870,2.377295,0.023483,0.197481
10000,3,100005,100005,0,0,0,100004,100005,0.00000000,0.00000000,10000.500,12,2777.917,3334.000,3.697,4.590,10,3333.400,3334.000,4.322,4.660,0.013020,0.013556,0.014259,0.015000,0.199166,0.002155,0.199166
50000,1,500001,500001,0,0,0,500000,500001,0.00000000,0.00000000,50000.100,12,13888.917,16667.000,15.903,20.960,10,16666.600,16667.000,16.133,20.190,0.009685,0.009481,0.011759,0.013945,0.831717,0.009528,0.039870
50000,2,500001,500001,0,0,0,500000,500001,0.00000000,0.00000000,50000.100,12,13888.917,16667.000,22.863,29.300,10,16666.600,16667.000,11.241,14.890,0.009437,0.009388,0.010685,0.012796,0.406479,0.001845,0.047999
50000,3,500001,500001,0,0,0,500000,500001,0.00000000,0.00000000,50000.100,12,13888.917,16667.000,13.186,18.980,10,16666.600,16667.000,17.337,20.950,0.010023,0.009259,0.012111,0.014389,0.898068,0.015241,0.037055
100000,1,999999,999999,0,0,0,999998,999999,0.00000000,0.00000000,99999.900,12,27777.750,33334.000,26.578,38.880,10,33333.200,33337.000,19.655,20.300,0.007064,0.006333,0.007723,0.009037,2.262967,0.023282,0.040648
100000,2,999999,999999,0,0,0,999998,999999,0.00000000,0.00000000,99999.900,12,27777.750,33334.000,28.216,40.090,10,33333.200,33334.000,21.660,32.440,0.008563,0.006370,0.010000,0.030519,1.171807,0.020157,0.036666
100000,3,999999,999999,0,0,0,999998,999999,0.00000000,0.00000000,99999.900,12,27777.750,33334.000,25.035,30.560,10,33333.200,33334.000,19.516,19.940,0.006434,0.006278,0.006556,0.008611,0.297128,0.002859,0.039407
120000,1,1199997,1199997,0,0,0,1199996,1199997,0.00000000,0.00000000,119999.700,12,33333.250,40000.000,30.024,37.010,10,39999.800,40000.000,27.287,33.800,0.007440,0.006408,0.009723,0.013315,1.123938,0.010124,0.036259
120000,2,1199997,1199997,0,0,0,1199996,1199997,0.00000000,0.00000000,119999.700,12,33333.250,40000.000,29.837,36.420,10,39999.800,40002.000,23.618,24.060,0.006781,0.006278,0.006518,0.009129,1.381380,0.014597,0.041426
120000,3,1199997,1199997,0,0,0,1199996,1199997,0.00000000,0.00000000,119999.700,12,33333.250,40001.000,29.948,36.690,10,39999.800,40003.000,24.371,29.080,0.014010,0.006260,0.008314,0.013111,50.280485,0.526155,49.463267
140000,1,1399998,1399998,0,0,0,1399997,1399998,0.00000000,0.00000000,139999.800,12,38888.833,46667.000,34.748,42.270,10,46666.500,46667.000,27.281,27.700,0.008012,0.006278,0.006500,0.009056,3.396442,0.046998,0.036629
140000,2,1399998,1399998,0,0,0,1399997,1399998,0.00000000,0.00000000,139999.800,12,38888.833,46667.000,35.017,42.540,10,46666.500,46667.000,28.040,30.020,0.007323,0.006315,0.007907,0.012537,1.191993,0.025422,0.037889
