rate_hz,rcvbuf_requested,rcvbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,last_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
10000,65536,131072,1,100005,100005,0,0,0.00000000,0.013666,0.013593,0.014352,0.015222,4.347079,0.191481,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_10000_rcvbuf_65536_run1.csv
10000,65536,131072,2,100005,100005,0,0,0.00000000,0.013699,0.013612,0.014389,0.015408,1.429736,1.429736,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_10000_rcvbuf_65536_run2.csv
10000,65536,131072,3,100005,100005,0,0,0.00000000,0.013107,0.013722,0.014537,0.015944,0.264740,0.200832,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_10000_rcvbuf_65536_run3.csv
10000,262144,425984,1,100005,100005,0,0,0.00000000,0.012682,0.012167,0.016519,0.018074,1.804995,0.052611,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_10000_rcvbuf_262144_run1.csv
10000,262144,425984,2,100005,100005,0,0,0.00000000,0.010572,0.009611,0.014167,0.015130,0.122056,0.046166,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_10000_rcvbuf_262144_run2.csv
10000,262144,425984,3,100005,100005,0,0,0.00000000,0.016280,0.017870,0.018963,0.019833,1.135423,0.121704,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_10000_rcvbuf_262144_run3.csv
10000,1048576,425984,1,100005,100005,0,0,0.00000000,0.014627,0.014074,0.014760,0.015815,2.686103,0.683257,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_10000_rcvbuf_1048576_run1.csv
10000,1048576,425984,2,100005,100005,0,0,0.00000000,0.012946,0.013889,0.014629,0.016037,0.704831,0.196462,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_10000_rcvbuf_1048576_run2.csv
10000,1048576,425984,3,100005,100005,0,0,0.00000000,0.014769,0.014148,0.017092,0.018426,0.601795,0.114610,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_10000_rcvbuf_1048576_run3.csv
10000,4194304,425984,1,100005,100005,0,0,0.00000000,0.010337,0.009574,0.014370,0.016870,0.319092,0.044945,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_10000_rcvbuf_4194304_run1.csv
10000,4194304,425984,2,100005,100005,0,0,0.00000000,0.010223,0.009648,0.012963,0.014055,0.098721,0.058556,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_10000_rcvbuf_4194304_run2.csv
10000,4194304,425984,3,100005,100005,0,0,0.00000000,0.016066,0.015408,0.018537,0.020278,1.916161,0.064759,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_10000_rcvbuf_4194304_run3.csv
10000,8388608,425984,1,100005,100005,0,0,0.00000000,0.014218,0.014685,0.016000,0.016852,0.919924,0.050777,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_10000_rcvbuf_8388608_run1.csv
10000,8388608,425984,2,100005,100005,0,0,0.00000000,0.028679,0.014907,0.016092,0.020389,16.248005,0.048611,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_10000_rcvbuf_8388608_run2.csv
10000,8388608,425984,3,100005,100005,0,0,0.00000000,0.012701,0.012519,0.013500,0.016260,0.606739,0.059704,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_10000_rcvbuf_8388608_run3.csv
10000,16777216,425984,1,100005,100005,0,0,0.00000000,0.012101,0.010778,0.016556,0.019722,1.027885,0.046703,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_10000_rcvbuf_16777216_run1.csv
10000,16777216,425984,2,100005,100005,0,0,0.00000000,0.015319,0.014297,0.017018,0.018000,4.211209,3.343286,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_10000_rcvbuf_16777216_run2.csv
10000,16777216,425984,3,100005,100005,0,0,0.00000000,0.012760,0.012778,0.013926,0.015222,0.111907,0.062759,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_10000_rcvbuf_16777216_run3.csv
12000,65536,131072,1,120003,120003,0,0,0.00000000,0.016662,0.017241,0.017981,0.018833,0.276240,0.220518,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_12000_rcvbuf_65536_run1.csv
12000,65536,131072,2,120003,120003,0,0,0.00000000,0.013594,0.013815,0.014555,0.015185,0.924090,0.088759,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_12000_rcvbuf_65536_run2.csv
12000,65536,131072,3,120003,120003,0,0,0.00000000,0.013208,0.012907,0.014371,0.015167,0.335462,0.204000,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_12000_rcvbuf_65536_run3.csv
12000,262144,425984,1,120003,120003,0,0,0.00000000,0.013721,0.013796,0.014518,0.015981,1.297181,0.608590,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_12000_rcvbuf_262144_run1.csv
12000,262144,425984,2,120003,120003,0,0,0.00000000,0.011328,0.011074,0.011796,0.013685,0.876072,0.044962,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_12000_rcvbuf_262144_run2.csv
12000,262144,425984,3,120003,120003,0,0,0.00000000,0.021393,0.014111,0.017963,0.018870,11.683761,0.121796,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_12000_rcvbuf_262144_run3.csv
12000,1048576,425984,1,120003,120003,0,0,0.00000000,0.017020,0.017260,0.018203,0.019148,0.239000,0.121426,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_12000_rcvbuf_1048576_run1.csv
12000,1048576,425984,2,120003,120003,0,0,0.00000000,0.011197,0.011148,0.012759,0.014129,0.440054,0.042889,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_12000_rcvbuf_1048576_run2.csv
12000,1048576,425984,3,120003,120003,0,0,0.00000000,0.017084,0.017703,0.019222,0.020112,3.682730,0.134222,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_12000_rcvbuf_1048576_run3.csv
12000,4194304,425984,1,120003,120003,0,0,0.00000000,0.013435,0.013314,0.014167,0.014851,1.015108,0.190518,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_12000_rcvbuf_4194304_run1.csv
12000,4194304,425984,2,120003,120003,0,0,0.00000000,0.015431,0.014425,0.017574,0.018092,0.198574,0.198574,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_12000_rcvbuf_4194304_run2.csv
12000,4194304,425984,3,120003,120003,0,0,0.00000000,0.014163,0.014037,0.014685,0.015222,0.648054,0.089870,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_12000_rcvbuf_4194304_run3.csv
12000,8388608,425984,1,120003,120003,0,0,0.00000000,0.009753,0.009482,0.010019,0.010760,1.582458,0.043629,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_12000_rcvbuf_8388608_run1.csv
12000,8388608,425984,2,120003,120003,0,0,0.00000000,0.012720,0.012241,0.013186,0.014352,4.412783,3.942563,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_12000_rcvbuf_8388608_run2.csv
12000,8388608,425984,3,120003,120003,0,0,0.00000000,0.011979,0.011352,0.014463,0.015871,0.254574,0.093000,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_12000_rcvbuf_8388608_run3.csv
12000,16777216,425984,1,120003,120003,0,0,0.00000000,0.013993,0.013926,0.014555,0.015092,0.091759,0.090722,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_12000_rcvbuf_16777216_run1.csv
12000,16777216,425984,2,120003,120003,0,0,0.00000000,0.010740,0.009648,0.014482,0.014963,0.498147,0.091629,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_12000_rcvbuf_16777216_run2.csv
12000,16777216,425984,3,120003,120003,0,0,0.00000000,0.014373,0.013889,0.015629,0.018204,1.554810,0.093167,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_12000_rcvbuf_16777216_run3.csv
14000,65536,131072,1,140004,140004,0,0,0.00000000,0.014481,0.014852,0.017296,0.022056,3.900155,1.095534,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_14000_rcvbuf_65536_run1.csv
14000,65536,131072,2,140004,140004,0,0,0.00000000,0.010879,0.009611,0.012889,0.015204,3.935544,0.046981,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_14000_rcvbuf_65536_run2.csv
14000,65536,131072,3,140004,140004,0,0,0.00000000,0.011396,0.011056,0.011686,0.013148,2.018309,0.044815,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_14000_rcvbuf_65536_run3.csv
14000,262144,425984,1,140004,140004,0,0,0.00000000,0.013577,0.013611,0.014314,0.014797,0.125833,0.091630,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_14000_rcvbuf_262144_run1.csv
