rate_hz,rcvbuf_requested,rcvbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,last_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
10000,8192,16384,1,99939,99939,0,66,0.00065997,0.015310,0.009444,0.015500,0.017240,11.826043,0.050945,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_10000_rcvbuf_8192_run1.csv
10000,8192,16384,2,100005,100005,0,0,0.00000000,0.014029,0.013944,0.014666,0.015741,0.094073,0.094073,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_10000_rcvbuf_8192_run2.csv
10000,8192,16384,3,100005,100005,0,0,0.00000000,0.009586,0.009445,0.010074,0.011944,0.222092,0.042222,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_10000_rcvbuf_8192_run3.csv
10000,16384,32768,1,100005,100005,0,0,0.00000000,0.014274,0.014018,0.016833,0.018759,0.177648,0.051074,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_10000_rcvbuf_16384_run1.csv
10000,16384,32768,2,100005,100005,0,0,0.00000000,0.013069,0.013870,0.014648,0.016185,0.975311,0.206925,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_10000_rcvbuf_16384_run2.csv
10000,16384,32768,3,100005,100005,0,0,0.00000000,0.014159,0.013963,0.014889,0.020778,0.262851,0.089093,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_10000_rcvbuf_16384_run3.csv
10000,32768,65536,1,100005,100005,0,0,0.00000000,0.016881,0.017537,0.019425,0.019981,0.847275,0.121222,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_10000_rcvbuf_32768_run1.csv
10000,32768,65536,2,100005,100005,0,0,0.00000000,0.015498,0.013907,0.014648,0.016075,5.662996,0.189017,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_10000_rcvbuf_32768_run2.csv
10000,32768,65536,3,100005,100005,0,0,0.00000000,0.013257,0.013945,0.014723,0.015925,1.816585,0.093481,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_10000_rcvbuf_32768_run3.csv
10000,49152,98304,1,100005,100005,0,0,0.00000000,0.014722,0.014889,0.016555,0.018796,0.930144,0.092111,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_10000_rcvbuf_49152_run1.csv
10000,49152,98304,2,100005,100005,0,0,0.00000000,0.015238,0.015093,0.016908,0.019555,2.541045,0.056592,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_10000_rcvbuf_49152_run2.csv
10000,49152,98304,3,100005,100005,0,0,0.00000000,0.010647,0.009500,0.010185,0.015555,3.774227,0.046555,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_10000_rcvbuf_49152_run3.csv
10000,65536,131072,1,100005,100005,0,0,0.00000000,0.016091,0.014908,0.018814,0.019797,4.961110,4.961110,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_10000_rcvbuf_65536_run1.csv
10000,65536,131072,2,99765,99765,0,240,0.00239988,0.200354,0.013908,0.014648,0.017037,65.044843,0.205999,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_10000_rcvbuf_65536_run2.csv
10000,65536,131072,3,100005,100005,0,0,0.00000000,0.014540,0.014241,0.016500,0.018019,0.208295,0.208295,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_10000_rcvbuf_65536_run3.csv
10000,98304,196608,1,100005,100005,0,0,0.00000000,0.013949,0.013815,0.014574,0.015759,0.304129,0.093481,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_10000_rcvbuf_98304_run1.csv
10000,98304,196608,2,100005,100005,0,0,0.00000000,0.018346,0.018518,0.019167,0.019981,0.229370,0.229370,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_10000_rcvbuf_98304_run2.csv
10000,98304,196608,3,100005,100005,0,0,0.00000000,0.014118,0.013574,0.014445,0.017778,3.411580,2.858322,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_10000_rcvbuf_98304_run3.csv
14000,8192,16384,1,140004,140004,0,0,0.00000000,0.013875,0.013870,0.014519,0.015481,0.221629,0.195388,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_14000_rcvbuf_8192_run1.csv
14000,8192,16384,2,139899,139899,0,105,0.00074998,0.014380,0.009444,0.012778,0.014778,11.022496,0.048352,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_14000_rcvbuf_8192_run2.csv
14000,8192,16384,3,140004,140004,0,0,0.00000000,0.014069,0.013704,0.014611,0.020574,1.498995,0.096093,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_14000_rcvbuf_8192_run3.csv
14000,16384,32768,1,140004,140004,0,0,0.00000000,0.013789,0.013851,0.014593,0.015574,0.360109,0.087815,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_14000_rcvbuf_16384_run1.csv
14000,16384,32768,2,140004,140004,0,0,0.00000000,0.010377,0.009463,0.010093,0.014463,5.377296,5.377296,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_14000_rcvbuf_16384_run2.csv
14000,16384,32768,3,140004,140004,0,0,0.00000000,0.012896,0.012537,0.015389,0.016555,3.915560,0.052259,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_14000_rcvbuf_16384_run3.csv
14000,32768,65536,1,140004,140004,0,0,0.00000000,0.012294,0.011500,0.015593,0.018666,1.945456,0.047352,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_14000_rcvbuf_32768_run1.csv
14000,32768,65536,2,140004,140004,0,0,0.00000000,0.012588,0.012463,0.013333,0.014426,0.588609,0.058593,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_14000_rcvbuf_32768_run2.csv
14000,32768,65536,3,140004,140004,0,0,0.00000000,0.014361,0.014000,0.014722,0.015740,2.265103,0.089148,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_14000_rcvbuf_32768_run3.csv
14000,49152,98304,1,140004,140004,0,0,0.00000000,0.013577,0.013740,0.014629,0.019408,2.945786,2.336695,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_14000_rcvbuf_49152_run1.csv
14000,49152,98304,2,140004,140004,0,0,0.00000000,0.012849,0.012667,0.013722,0.020408,0.149147,0.056704,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_14000_rcvbuf_49152_run2.csv
14000,49152,98304,3,140004,140004,0,0,0.00000000,0.013421,0.013796,0.015371,0.017352,0.542646,0.196925,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_14000_rcvbuf_49152_run3.csv
14000,65536,131072,1,140004,140004,0,0,0.00000000,0.010286,0.009388,0.009926,0.011963,1.198478,0.044018,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_14000_rcvbuf_65536_run1.csv
14000,65536,131072,2,140004,140004,0,0,0.00000000,0.014479,0.014056,0.017370,0.018389,0.323314,0.206906,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_14000_rcvbuf_65536_run2.csv
14000,65536,131072,3,140004,140004,0,0,0.00000000,0.012632,0.013685,0.014463,0.015482,0.410258,0.197722,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_14000_rcvbuf_65536_run3.csv
14000,98304,196608,1,140004,140004,0,0,0.00000000,0.014352,0.014037,0.015537,0.017500,1.443903,0.094870,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_14000_rcvbuf_98304_run1.csv
14000,98304,196608,2,140004,140004,0,0,0.00000000,0.009550,0.009444,0.010000,0.011130,0.543980,0.045574,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_14000_rcvbuf_98304_run2.csv
14000,98304,196608,3,140004,140004,0,0,0.00000000,0.012463,0.011944,0.013092,0.014093,3.992598,0.043462,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_14000_rcvbuf_98304_run3.csv
18000,8192,16384,1,180003,180003,0,0,0.00000000,0.010403,0.010333,0.011370,0.012778,0.521665,0.041834,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_18000_rcvbuf_8192_run1.csv
18000,8192,16384,2,179985,179985,0,18,0.00010000,0.015247,0.014055,0.015629,0.016352,3.990764,0.099130,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_18000_rcvbuf_8192_run2.csv
18000,8192,16384,3,180003,180003,0,0,0.00000000,0.013152,0.013093,0.013741,0.014518,1.666272,0.087277,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_18000_rcvbuf_8192_run3.csv
18000,16384,32768,1,180003,180003,0,0,0.00000000,0.012791,0.013037,0.013777,0.014444,0.317629,0.088630,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_18000_rcvbuf_16384_run1.csv
18000,16384,32768,2,180003,180003,0,0,0.00000000,0.013370,0.013241,0.013871,0.015222,0.173777,0.088278,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_18000_rcvbuf_16384_run2.csv
18000,16384,32768,3,180003,180003,0,0,0.00000000,0.012768,0.013074,0.013815,0.014407,0.344184,0.089722,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_18000_rcvbuf_16384_run3.csv
18000,32768,65536,1,180003,180003,0,0,0.00000000,0.014543,0.010018,0.013352,0.014982,6.375664,2.462492,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_18000_rcvbuf_32768_run1.csv
18000,32768,65536,2,180003,180003,0,0,0.00000000,0.013021,0.013037,0.013685,0.014333,1.248810,0.089851,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_18000_rcvbuf_32768_run2.csv
18000,32768,65536,3,180003,180003,0,0,0.00000000,0.014690,0.013352,0.015944,0.016740,4.115005,0.191388,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_18000_rcvbuf_32768_run3.csv
18000,49152,98304,1,180003,180003,0,0,0.00000000,0.016542,0.016296,0.017111,0.022278,4.144802,0.117574,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_18000_rcvbuf_49152_run1.csv
18000,49152,98304,2,180003,180003,0,0,0.00000000,0.013716,0.014611,0.016315,0.018037,1.183404,0.042518,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_18000_rcvbuf_49152_run2.csv
18000,49152,98304,3,180003,180003,0,0,0.00000000,0.016838,0.016944,0.018166,0.018814,1.887605,0.462258,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_18000_rcvbuf_49152_run3.csv
18000,65536,131072,1,180003,180003,0,0,0.00000000,0.014443,0.013223,0.018129,0.018852,0.215369,0.215369,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_18000_rcvbuf_65536_run1.csv
18000,65536,131072,2,180003,180003,0,0,0.00000000,0.012568,0.012667,0.013574,0.014315,0.134759,0.094315,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_18000_rcvbuf_65536_run2.csv
18000,65536,131072,3,180003,180003,0,0,0.00000000,0.013287,0.012777,0.017148,0.018556,2.138845,0.123536,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_18000_rcvbuf_65536_run3.csv
18000,98304,196608,1,180003,180003,0,0,0.00000000,0.011408,0.009556,0.015352,0.020889,1.077404,0.050148,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_18000_rcvbuf_98304_run1.csv
18000,98304,196608,2,180003,180003,0,0,0.00000000,0.013598,0.012037,0.013685,0.015333,4.934891,0.086852,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_18000_rcvbuf_98304_run2.csv
18000,98304,196608,3,180003,180003,0,0,0.00000000,0.010158,0.009389,0.014796,0.016815,0.119870,0.050166,0,0,0,ok,data\w08\socket_buffer_matrix_lowbuf\rate_18000_rcvbuf_98304_run3.csv
