rate_hz,rcvbuf_requested,rcvbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,last_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
10000,100,2304,1,100005,100005,0,0,0.00000000,0.013809,0.013722,0.014389,0.015277,0.083535,0.083535,0,0,0,ok,data\w08\socket_buffer_tiny\rate_10000_rcvbuf_100_run1.csv
10000,100,2304,2,100005,100005,0,0,0.00000000,0.013275,0.013518,0.014148,0.014888,0.084146,0.084146,0,0,0,ok,data\w08\socket_buffer_tiny\rate_10000_rcvbuf_100_run2.csv
10000,100,2304,3,99996,99996,0,9,0.00009000,0.013854,0.013592,0.014203,0.015092,1.813581,0.086479,0,0,0,ok,data\w08\socket_buffer_tiny\rate_10000_rcvbuf_100_run3.csv
10000,512,2304,1,100005,100005,0,0,0.00000000,0.013767,0.013685,0.014352,0.014981,0.083016,0.083016,0,0,0,ok,data\w08\socket_buffer_tiny\rate_10000_rcvbuf_512_run1.csv
10000,512,2304,2,100005,100005,0,0,0.00000000,0.011572,0.010370,0.014018,0.014629,0.303363,0.083498,0,0,0,ok,data\w08\socket_buffer_tiny\rate_10000_rcvbuf_512_run2.csv
10000,512,2304,3,100005,100005,0,0,0.00000000,0.013000,0.013574,0.014204,0.015111,0.085887,0.085887,0,0,0,ok,data\w08\socket_buffer_tiny\rate_10000_rcvbuf_512_run3.csv
10000,1024,2304,1,100005,100005,0,0,0.00000000,0.011264,0.010278,0.014092,0.014795,0.189348,0.189348,0,0,0,ok,data\w08\socket_buffer_tiny\rate_10000_rcvbuf_1024_run1.csv
10000,1024,2304,2,99969,99969,0,33,0.00032999,0.014004,0.014018,0.015204,0.016704,4.192360,1.201193,0,0,0,ok,data\w08\socket_buffer_tiny\rate_10000_rcvbuf_1024_run2.csv
10000,1024,2304,3,100005,100005,0,0,0.00000000,0.013292,0.013481,0.014167,0.015093,0.196014,0.083442,0,0,0,ok,data\w08\socket_buffer_tiny\rate_10000_rcvbuf_1024_run3.csv
10000,4096,8192,1,100005,100005,0,0,0.00000000,0.013896,0.013759,0.014389,0.014981,0.597931,0.290345,0,0,0,ok,data\w08\socket_buffer_tiny\rate_10000_rcvbuf_4096_run1.csv
10000,4096,8192,2,100005,100005,0,0,0.00000000,0.010273,0.010055,0.010759,0.014852,0.137885,0.032814,0,0,0,ok,data\w08\socket_buffer_tiny\rate_10000_rcvbuf_4096_run2.csv
