trial,drop_rate,drop_seed,rate_hz,fec_mode,tx_status,rx_status,tx_sent_datagrams,dropped_datagrams,dropped_frames,fec_data_datagrams,fec_parity_datagrams,raw_missing_total,recovered_count,unrecovered_count,effective_missing_total,raw_missing_rate,effective_missing_rate,unique_received_frames_total,usable_datagrams,total_datagrams_after_effective_loss,usable_datagram_rate,fec_recovered_datagrams,fec_unrecovered_datagrams,avg_latency_ms,p99_latency_ms,max_latency_ms,rx_1sec_avg_cpu_pct,run_dir
1,0.10,101,1200,off,0,0,10772,1229,3687,0,0,3684,0,3684,3684,0.10233333333333333,0.10233333333333333,32316,10772,12000,0.8976666666666666,0,0,0.01,0.012,0.0,0.436875,logs/w09/fec_comparison/fec_off_trial1
2,0.10,102,1200,off,0,0,10757,1244,3732,0,0,3729,0,3729,3729,0.10358333333333333,0.10358333333333333,32271,10757,12000,0.8964166666666666,0,0,0.011,0.012,0.0,0.44875,logs/w09/fec_comparison/fec_off_trial2
3,0.10,103,1200,off,0,0,10803,1198,3594,0,0,3594,0,3594,3594,0.09982501458211816,0.09982501458211816,32409,10803,12001,0.9001749854178819,0,0,0.011,0.012,1.0,0.453125,logs/w09/fec_comparison/fec_off_trial3
4,0.10,104,1200,off,0,0,10842,1159,3477,0,0,3477,0,3477,3477,0.09657528539288393,0.09657528539288393,32526,10842,12001,0.903424714607116,0,0,0.011,0.012,0.0,0.4534375,logs/w09/fec_comparison/fec_off_trial4
5,0.10,105,1200,off,0,0,10786,1215,3645,0,0,3645,0,3645,3645,0.10124156320306642,0.10124156320306642,32358,10786,12001,0.8987584367969336,0,0,0.011,0.012,0.0,0.450625,logs/w09/fec_comparison/fec_off_trial5
6,0.10,106,1200,off,0,0,10783,1218,3654,0,0,3654,0,3654,3654,0.10149154237146904,0.10149154237146904,32349,10783,12001,0.8985084576285309,0,0,0.011,0.012,5.0,0.4509375,logs/w09/fec_comparison/fec_off_trial6
7,0.10,107,1200,off,0,0,10759,1242,3726,0,0,3726,0,3726,3726,0.1034913757186901,0.1034913757186901,32277,10759,12001,0.8965086242813098,0,0,0.011,0.012,0.0,0.45218749999999996,logs/w09/fec_comparison/fec_off_trial7
8,0.10,108,1200,off,0,0,10814,1187,3561,0,0,3561,0,3561,3561,0.09890842429797517,0.09890842429797517,32442,10814,12001,0.9010915757020248,0,0,0.011,0.012,0.0,0.4540625,logs/w09/fec_comparison/fec_off_trial8
9,0.10,109,1200,off,0,0,10770,1231,3693,0,0,3693,0,3693,3693,0.10257478543454712,0.10257478543454712,32310,10770,12001,0.8974252145654529,0,0,0.011,0.012,0.0,0.4525,logs/w09/fec_comparison/fec_off_trial9
10,0.10,110,1200,off,0,0,10818,1183,3549,0,0,3549,0,3549,3549,0.098575118740105,0.098575118740105,32454,10818,12001,0.9014248812598951,0,0,0.011,0.012,0.0,0.453125,logs/w09/fec_comparison/fec_off_trial10
1,0.10,101,1200,xor,0,0,10772,1229,3687,12001,3000,3684,2715,969,969,0.09515691592406045,0.026916666666666665,35031,11677,12000,0.9730833333333333,905,323,0.297,7.52,7.0,0.514375,logs/w09/fec_comparison/fec_xor_trial1
2,0.10,102,1200,xor,0,0,10757,1244,3732,12001,3000,3732,2784,948,948,0.09621780493464305,0.02633113907174402,35055,11685,12001,0.973668860928256,928,316,0.295,7.521,7.0,0.5125000000000001,logs/w09/fec_comparison/fec_xor_trial2
3,0.10,103,1200,xor,0,0,10803,1198,3594,12001,3000,3594,2571,1023,1023,0.09317156634002177,0.02841429880843263,34980,11660,12001,0.9715857011915674,857,341,0.294,7.521,7.0,0.5025000000000001,logs/w09/fec_comparison/fec_xor_trial3
4,0.10,104,1200,xor,0,0,10842,1159,3477,12001,3000,3477,2556,921,921,0.09017350035011282,0.02558120156653612,35082,11694,12001,0.9744187984334639,852,307,0.284,7.519,7.0,0.5065625,logs/w09/fec_comparison/fec_xor_trial4
5,0.10,105,1200,xor,0,0,10786,1215,3645,12001,3000,3645,2619,1026,1026,0.09437626223395992,0.028497625197900174,34977,11659,12001,0.9715023748020998,873,342,0.297,7.521,7.0,0.5025000000000001,logs/w09/fec_comparison/fec_xor_trial5
6,0.10,106,1200,xor,0,0,10783,1218,3654,12001,3000,3654,2652,1002,1002,0.09452852153667055,0.02783101408215982,35001,11667,12001,0.9721689859178402,884,334,0.297,7.521,7.0,0.5068750000000001,logs/w09/fec_comparison/fec_xor_trial6
7,0.10,107,1200,xor,0,0,10759,1242,3726,12001,3000,3726,2772,954,954,0.09609284332688588,0.02649779185067911,35049,11683,12001,0.9735022081493209,924,318,0.315,7.521,7.0,0.5003125,logs/w09/fec_comparison/fec_xor_trial7
8,0.10,108,1200,xor,0,0,10814,1187,3561,12001,3000,3561,2685,876,876,0.09204404466501241,0.024331305724522957,35127,11709,12001,0.9756686942754771,895,292,0.294,7.521,7.0,0.5040625000000001,logs/w09/fec_comparison/fec_xor_trial8
9,0.10,109,1200,xor,0,0,10770,1231,3693,12001,3000,3693,2619,1074,1074,0.09561907720988037,0.029830847429380886,34929,11643,12001,0.9701691525706191,873,358,0.281,7.52,7.0,0.5062500000000001,logs/w09/fec_comparison/fec_xor_trial9
10,0.10,110,1200,xor,0,0,10818,1183,3549,12001,3000,3549,2586,963,963,0.09196921402472207,0.026747771019081743,35040,11680,12001,0.9732522289809182,862,321,0.299,7.52,7.0,0.50125,logs/w09/fec_comparison/fec_xor_trial10
