trial,drop_rate,drop_seed,rate_hz,fec_mode,tx_status,rx_status,tx_sent_datagrams,dropped_datagrams,dropped_frames,fec_data_datagrams,fec_parity_datagrams,raw_missing_total,recovered_count,unrecovered_count,effective_missing_total,raw_missing_rate,effective_missing_rate,unique_received_frames_total,usable_datagrams,total_datagrams_after_effective_loss,usable_datagram_rate,fec_recovered_datagrams,fec_unrecovered_datagrams,avg_latency_ms,p99_latency_ms,max_latency_ms,rx_1sec_avg_cpu_pct,run_dir
1,0.10,101,120000,off,0,0,1080295,119704,359112,0,0,359112,0,359112,359112,0.09975341646118038,0.09975341646118038,3240885,1080295,1199999,0.9002465835388196,0,0,0.008,0.009,0.0,18.1090625,logs/w10/fec_comparison_rate_120000/fec_off_trial1
2,0.10,102,120000,off,0,0,1080084,119915,359745,0,0,359742,0,359742,359742,0.09992849988083313,0.09992849988083313,3240252,1080084,1199998,0.9000715001191668,0,0,0.008,0.009,0.0,17.9346875,logs/w10/fec_comparison_rate_120000/fec_off_trial2
3,0.10,103,120000,off,0,0,1079637,120362,361086,0,0,361086,0,361086,361086,0.10030175025145854,0.10030175025145854,3238911,1079637,1199999,0.8996982497485415,0,0,0.008,0.009,0.0,17.8346875,logs/w10/fec_comparison_rate_120000/fec_off_trial3
4,0.10,104,120000,off,0,0,1080382,119617,358851,0,0,358851,0,358851,358851,0.09968091640076367,0.09968091640076367,3241146,1080382,1199999,0.9003190835992363,0,0,0.008,0.008,0.0,17.780625,logs/w10/fec_comparison_rate_120000/fec_off_trial4
5,0.10,105,120000,off,0,0,1079875,120124,360372,0,0,360372,0,360372,360372,0.1001034167528473,0.1001034167528473,3239625,1079875,1199999,0.8998965832471527,0,0,0.008,0.009,0.0,17.9915625,logs/w10/fec_comparison_rate_120000/fec_off_trial5
6,0.10,106,120000,off,0,0,1079889,120110,360330,0,0,360330,0,360330,360330,0.1000917500764584,0.1000917500764584,3239667,1079889,1199999,0.8999082499235416,0,0,0.008,0.009,0.0,17.9259375,logs/w10/fec_comparison_rate_120000/fec_off_trial6
7,0.10,107,120000,off,0,0,1079488,120511,361533,0,0,361533,0,361533,361533,0.10042591702159752,0.10042591702159752,3238464,1079488,1199999,0.8995740829784025,0,0,0.008,0.009,0.0,17.818437499999998,logs/w10/fec_comparison_rate_120000/fec_off_trial7
8,0.10,108,120000,off,0,0,1079660,120339,361017,0,0,361017,0,361017,361017,0.10028258356881964,0.10028258356881964,3238980,1079660,1199999,0.8997174164311803,0,0,0.008,0.009,0.0,17.9028125,logs/w10/fec_comparison_rate_120000/fec_off_trial8
9,0.10,109,120000,off,0,0,1079579,120420,361260,0,0,361260,0,361260,361260,0.10035008362506968,0.10035008362506968,3238737,1079579,1199999,0.8996499163749303,0,0,0.008,0.009,0.0,17.9625,logs/w10/fec_comparison_rate_120000/fec_off_trial9
10,0.10,110,120000,off,0,0,1080413,119586,358758,0,0,358758,0,358758,358758,0.09965508304590254,0.09965508304590254,3241239,1080413,1199999,0.9003449169540975,0,0,0.008,0.009,0.0,17.871875,logs/w10/fec_comparison_rate_120000/fec_off_trial10
1,0.10,101,120000,xor,0,0,1080295,119704,359112,1199999,299999,359112,261954,97158,97158,0.09298719740359213,0.026988355823629854,3502839,1167613,1199999,0.9730116441763701,87318,32386,0.011,0.086,0.0,20.51625,logs/w10/fec_comparison_rate_120000/fec_xor_trial1
