condition,trial,fault_rate,recv_ok,crc_fail,preamble_miss,len_invalid,resync_count,parse_ok_rate
A_none,1,0.00,2901,0,0,0,0,1.000
A_none,2,0.00,2901,0,0,0,0,1.000
A_none,3,0.00,2901,0,0,0,0,1.000
B_low,1,0.01,2862,39,0,0,39,0.987
B_low,2,0.01,2870,31,0,0,31,0.989
B_low,3,0.01,2866,35,0,0,35,0.988
C_mid,1,0.05,2740,161,0,0,161,0.945
C_mid,2,0.05,2767,134,0,0,134,0.954
C_mid,3,0.05,2769,132,0,0,132,0.954
D_high,1,0.10,2607,294,0,0,294,0.899
D_high,2,0.10,2616,285,0,0,285,0.902
D_high,3,0.10,2591,310,0,0,310,0.893
