mode,scenario,trial,outage_ms,degraded_detect_ms,recover_complete_ms,expected_pattern,observed_pattern,link_name,port,run_dir
fsm,0.5s,1,500,na,na,no-transitions,none,host_loopback,9600,logs/fsm_recovery/w05_compare_baseline/mode_fsm/scenario_500ms/trial_1
fsm,0.5s,2,500,na,na,no-transitions,none,host_loopback,9601,logs/fsm_recovery/w05_compare_baseline/mode_fsm/scenario_500ms/trial_2
fsm,0.5s,3,500,na,na,no-transitions,none,host_loopback,9602,logs/fsm_recovery/w05_compare_baseline/mode_fsm/scenario_500ms/trial_3
fsm,1s,1,1000,na,na,no-transitions,none,host_loopback,9603,logs/fsm_recovery/w05_compare_baseline/mode_fsm/scenario_1000ms/trial_1
fsm,1s,2,1000,na,na,no-transitions,none,host_loopback,9604,logs/fsm_recovery/w05_compare_baseline/mode_fsm/scenario_1000ms/trial_2
fsm,1s,3,1000,na,na,no-transitions,none,host_loopback,9605,logs/fsm_recovery/w05_compare_baseline/mode_fsm/scenario_1000ms/trial_3
fsm,3s,1,3000,5000,8000,fsm-recovery,Normal->Degraded->Recover->Normal,host_loopback,9606,logs/fsm_recovery/w05_compare_baseline/mode_fsm/scenario_3000ms/trial_1
fsm,3s,2,3000,5000,8000,fsm-recovery,Normal->Degraded->Recover->Normal,host_loopback,9607,logs/fsm_recovery/w05_compare_baseline/mode_fsm/scenario_3000ms/trial_2
fsm,3s,3,3000,5000,7000,fsm-recovery,Normal->Degraded->Recover->Normal,host_loopback,9608,logs/fsm_recovery/w05_compare_baseline/mode_fsm/scenario_3000ms/trial_3
timeout-only,0.5s,1,500,na,na,no-transitions,none,host_loopback,9700,logs/fsm_recovery/w05_compare_baseline/mode_timeout_only/scenario_500ms/trial_1
timeout-only,0.5s,2,500,na,na,no-transitions,none,host_loopback,9701,logs/fsm_recovery/w05_compare_baseline/mode_timeout_only/scenario_500ms/trial_2
timeout-only,0.5s,3,500,na,na,no-transitions,none,host_loopback,9702,logs/fsm_recovery/w05_compare_baseline/mode_timeout_only/scenario_500ms/trial_3
timeout-only,1s,1,1000,na,na,no-transitions,none,host_loopback,9703,logs/fsm_recovery/w05_compare_baseline/mode_timeout_only/scenario_1000ms/trial_1
timeout-only,1s,2,1000,na,na,no-transitions,none,host_loopback,9704,logs/fsm_recovery/w05_compare_baseline/mode_timeout_only/scenario_1000ms/trial_2
timeout-only,1s,3,1000,na,na,no-transitions,none,host_loopback,9705,logs/fsm_recovery/w05_compare_baseline/mode_timeout_only/scenario_1000ms/trial_3
timeout-only,3s,1,3000,5000,8000,timeout-only-recovery,Normal->Degraded->Normal,host_loopback,9706,logs/fsm_recovery/w05_compare_baseline/mode_timeout_only/scenario_3000ms/trial_1
timeout-only,3s,2,3000,5000,8000,timeout-only-recovery,Normal->Degraded->Normal,host_loopback,9707,logs/fsm_recovery/w05_compare_baseline/mode_timeout_only/scenario_3000ms/trial_2
timeout-only,3s,3,3000,5000,8000,timeout-only-recovery,Normal->Degraded->Normal,host_loopback,9708,logs/fsm_recovery/w05_compare_baseline/mode_timeout_only/scenario_3000ms/trial_3
