rate_hz,rx_pin,tx_pin,trial,rx_core,tx_core,rx_effective_core,tx_effective_core,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,first_edge_count,first_edge_mean_latency_ms,first_edge_max_latency_ms,last_edge_count,last_edge_mean_latency_ms,last_edge_max_latency_ms,middle_mean_latency_ms,first_edge_minus_middle_mean_ms,last_edge_minus_middle_mean_ms,tx_status,rx_status,copy_status,run_validity,source_csv
100000,off,off,1,0,1,default,default,999999,999999,0,0,0.0,0.006867565713565713,0.006315,0.009,0.012,1.510336,3,0.050388999999999996,0.050389,3,0.032074,0.032074,0.006867359528516699,0.0435216404714833,0.0252066404714833,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_100000_rxpin_off_txpin_off_run1.csv
100000,off,off,2,0,1,default,default,999999,999999,0,0,0.0,0.007758929133929134,0.006481,0.009704,0.012019,1.806169,3,0.043259,0.043259,3,0.02563,0.02563,0.007758769019383136,0.03550023098061686,0.017871230980616864,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_100000_rxpin_off_txpin_off_run2.csv
100000,off,off,3,0,1,default,default,999999,999999,0,0,0.0,0.00869744381144381,0.008333,0.008593,0.009704,2.396634,3,0.055704,0.055704,3,0.031278,0.031278,0.00869723504864534,0.047006764951354654,0.022580764951354658,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_100000_rxpin_off_txpin_off_run3.csv
100000,off,on,1,0,1,default,1,999999,999999,0,0,0.0,0.008354102687102686,0.009148,0.009685,0.011926,0.561371,3,0.050556,0.050556,3,0.070167,0.070167,0.008353790640534483,0.04220220935946552,0.06181320935946551,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_100000_rxpin_off_txpin_on_run1.csv
100000,off,on,2,0,1,default,1,888534,888534,0,11469,0.012907778430538393,0.8752701769037537,0.009296,0.009778,0.012684999999999998,1154.180892,3,0.046037,0.046037,3,0.245945,0.245945,0.8752751015375992,-0.8292381015375992,-0.6293301015375993,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_100000_rxpin_off_txpin_on_run2.csv
100000,off,on,3,0,1,default,1,999999,999999,0,0,0.0,0.009206380913380914,0.009278,0.009814,0.012018,0.152278,3,0.049759,0.049759,3,0.067259,0.067259,0.00920608509559567,0.040552914904404325,0.058052914904404326,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_100000_rxpin_off_txpin_on_run3.csv
100000,on,off,1,0,1,0,default,999999,999999,0,0,0.0,0.010500364230364231,0.008296,0.008537,0.010944,4.177006,3,0.056945,0.056945,3,2.510411,2.510411,0.010492725111075778,0.04645227488892423,2.499918274888924,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_100000_rxpin_on_txpin_off_run1.csv
100000,on,off,2,0,1,0,default,998625,998625,0,1374,0.0013758918512955314,0.019361514283139314,0.008222,0.0085,0.008722,20.415696,3,0.071241,0.071241,3,0.028444,0.028444,0.019361331144310292,0.0518796688556897,0.009082668855689709,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_100000_rxpin_on_txpin_off_run2.csv
100000,on,off,3,0,1,0,default,999999,999999,0,0,0.0,0.008795267438267437,0.008166,0.008463,0.008889,3.305764,3,0.050667,0.050667,3,0.029647999999999997,0.029648,0.008795079263554845,0.04187192073644515,0.020852920736445152,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_100000_rxpin_on_txpin_off_run3.csv
100000,on,on,1,0,1,0,1,999999,999999,0,0,0.0,0.008291930804930804,0.008074,0.008445,0.008741,2.718615,3,0.0405,0.0405,3,0.029852,0.029852,0.008291769499386495,0.032208230500613506,0.021560230500613505,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_100000_rxpin_on_txpin_on_run1.csv
100000,on,on,2,0,1,0,1,998559,998559,0,1440,0.001442078034447639,0.01979109235908945,0.00813,0.008482,0.008741,20.715585,3,0.046037,0.046037,3,0.0265,0.0265,0.019790993351379446,0.026246006648620555,0.006709006648620553,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_100000_rxpin_on_txpin_on_run2.csv
100000,on,on,3,0,1,0,1,999042,999042,0,957,0.0009579176851423664,0.01823683545436528,0.008204,0.0085,0.008814,15.872503,3,0.05679700000000001,0.056797,3,0.02963,0.02963,0.018236685449773582,0.038560314550226425,0.011393314550226418,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_100000_rxpin_on_txpin_on_run3.csv
10000,off,off,1,0,1,default,default,100005,100005,0,0,0.0,0.01299829206539673,0.013481,0.014204,0.014889,0.846427,3,0.060037,0.060037,3,0.561779,0.561779,0.012980417304173042,0.04705658269582696,0.548798582695827,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_10000_rxpin_off_txpin_off_run1.csv
10000,off,off,2,0,1,default,default,100005,100005,0,0,0.0,0.013331335053247339,0.013611,0.014315,0.015167,2.147893,3,0.062259,0.062259,3,0.191871,0.191871,0.013324510965109651,0.04893448903489035,0.17854648903489037,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_10000_rxpin_off_txpin_off_run2.csv
