rate_hz,rcvbuf_requested,rcvbuf_actual,sndbuf_requested,sndbuf_actual,runs,sample_count_avg,missing_delta_total_avg,missing_delta_total_max,missing_rate_avg,mean_latency_ms_avg,p50_latency_ms_avg,p95_latency_ms_avg,p99_latency_ms_avg,max_latency_ms_avg,max_latency_ms_max,parse_error_count_total,invalid_runs
100000,2000,4000,default,default,3,999694.0,305.0,537,0.00030514412594399306,0.007844167535681441,0.007358333333333334,0.009716666666666667,0.012086333333333333,2.085137666666667,3.097012,0,0
100000,4000,8000,default,default,3,997866.0,2133.0,6363,0.0021465849397472596,0.008552193064241764,0.008012333333333333,0.010258999999999999,0.012753,23.064140999999996,63.898064,0,0
100000,8000,16000,default,default,3,999788.0,211.0,408,0.00021106719875728193,0.008234002087232163,0.008444666666666666,0.00971,0.012333333333333333,1.7666873333333333,2.975567,0,0
100000,16000,32000,default,default,3,999796.0,203.0,567,0.00020310801503647716,0.009441467819316965,0.008616666666666667,0.010352,0.013919333333333334,9.546152000000001,26.758368,0,0
100000,32000,64000,default,default,3,999146.0,853.0,1875,0.000854330990800858,0.012447200832762503,0.007685,0.009678666666666667,0.020049333333333332,29.946515,67.147965,0,0
100000,100000,200000,default,default,3,999999.0,0.0,0,0.0,0.009502769041769043,0.008722333333333334,0.010333333333333333,0.012388666666666668,2.9670430000000003,4.261324,0,0
140000,2000,4000,default,default,3,1392102.0,7896.0,22971,0.0057313192393946165,0.008875650445151805,0.007358,0.009617333333333334,0.012141666666666667,103.648577,307.265851,0,0
140000,4000,8000,default,default,3,1398352.0,1646.0,2733,0.0011774046601851337,0.008042244650765053,0.006339666666666667,0.009586333333333334,0.021634433333333893,16.641704333333333,26.921886,0,0
140000,8000,16000,default,default,3,1399651.0,329.0,702,0.00023509509875876324,0.008884728995534165,0.008148333333333334,0.009747,0.029611,2.0460326666666666,3.17153,0,0
140000,16000,32000,default,default,3,1385397.0,14601.0,30300,0.01061817641886696,0.02971831357541158,0.006352,0.009605,0.024895,296.890772,793.714562,0,0
140000,32000,64000,default,default,3,1399087.0,768.0,1530,0.0005490591020101076,0.0089489759638602,0.006376666666666667,0.009549333333333333,0.013678999999999998,10.287311333333333,20.81227,0,0
140000,100000,200000,default,default,3,1399998.0,0.0,0,0.0,0.011142176569537957,0.0077343333333333335,0.009660333333333335,0.014882999999999999,51.72124633333334,150.673897,0,0
180000,2000,4000,default,default,3,1785349.0,14645.0,43287,0.008333685883818625,0.009784705549956375,0.008136,0.016574000000000002,0.03296266666666667,76.547551,225.113478,0,0
180000,4000,8000,default,default,3,1798192.0,1770.0,2175,0.0009843573660028558,0.010649869548607083,0.008191333333333333,0.022882666666666666,0.06798133333333334,3.245912666666667,4.125102,0,0
180000,8000,16000,default,default,3,1795760.0,4234.0,10641,0.0023641689302080888,0.007753713318671883,0.0062966666666666666,0.009216,0.01928416333333333,19.536694999999998,51.652915,0,0
180000,16000,32000,default,default,3,1798730.0,1260.0,2031,0.0007005974281940643,0.009847598102952234,0.007809,0.01605566666666667,0.053586999999999996,6.799683000000001,11.199611,0,0
180000,32000,64000,default,default,3,1783733.0,16261.0,47481,0.009272248030763913,0.022088380046339673,0.006358333333333334,0.011518666666666665,0.03992033333333333,120.62430033333332,354.796074,0,0
180000,100000,200000,default,default,3,1795393.0,4601.0,10050,0.002567786290961776,0.01956428453992501,0.006950666666666667,0.016068000000000002,0.051741333333333334,28.534189666666666,59.063473,0,0
200000,2000,4000,default,default,3,1955916.0,44079.0,69543,0.02268091616677047,0.015033383005716099,0.0062963333333333335,0.04594433333333333,0.074896,101.49004666666667,297.241044,0,0
