rate_hz,rcvbuf_requested,rcvbuf_actual,sndbuf_requested,sndbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
1000000,100000,200000,default,default,1,4658250,4658250,0,17781,0.00381709869586218,0.012256843325712445,0.005426,0.007796,0.010723,32.884782,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_1000000_rcvbuf_100000_sndbuf_default_run1.csv
1000000,100000,200000,default,default,2,4404147,4404147,0,36840,0.008364843407815407,0.021473108103339876,0.005426,0.039834,0.056815,69.393643,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_1000000_rcvbuf_100000_sndbuf_default_run2.csv
1000000,100000,200000,default,default,3,4686876,4686876,0,26658,0.0056877971595578804,0.0153538772393381,0.005407,0.007852,0.0115,51.772783,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_1000000_rcvbuf_100000_sndbuf_default_run3.csv
1000000,16000,32000,default,default,1,4446753,4446753,0,310389,0.0698012684761218,0.02002129522058005,0.00537,0.007815,0.010463,554.712422,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_1000000_rcvbuf_16000_sndbuf_default_run1.csv
1000000,16000,32000,default,default,2,4727640,4727640,0,5544,0.001172678122699698,0.005948863854481306,0.005389,0.007723,0.010333,3.984312,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_1000000_rcvbuf_16000_sndbuf_default_run2.csv
1000000,16000,32000,default,default,3,4506006,4506006,0,212526,0.04716505037942693,0.015601605631683578,0.005426,0.007796,0.010667,397.07778,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_1000000_rcvbuf_16000_sndbuf_default_run3.csv
1000000,2000,4000,default,default,1,4662642,4662642,0,17115,0.0036706656869646007,0.005801407155642659,0.005426,0.007907,0.01113,17.500456,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_1000000_rcvbuf_2000_sndbuf_default_run1.csv
1000000,2000,4000,default,default,2,4643484,4643484,0,72294,0.015568913341792499,0.006052441868863983,0.005389,0.007834,0.010685,103.666958,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_1000000_rcvbuf_2000_sndbuf_default_run2.csv
1000000,2000,4000,default,default,3,4687932,4687932,0,17172,0.003663022415854155,0.005803870030537985,0.005444,0.007797,0.010111,14.216936,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_1000000_rcvbuf_2000_sndbuf_default_run3.csv
1000000,32000,64000,default,default,1,4721538,4721538,0,6852,0.0014512220382426235,0.006404571829772417,0.005371,0.007704,0.01063,4.782443,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_1000000_rcvbuf_32000_sndbuf_default_run1.csv
1000000,32000,64000,default,default,2,4721298,4721298,0,6174,0.0013076912323687258,0.006868514648302225,0.005407,0.007815,0.011297,2.978789,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_1000000_rcvbuf_32000_sndbuf_default_run2.csv
1000000,32000,64000,default,default,3,4442571,4442571,0,72924,0.016414819256687176,0.033457885100992193,0.005371,0.007704,0.011296,570.752947,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_1000000_rcvbuf_32000_sndbuf_default_run3.csv
1000000,4000,8000,default,default,1,4688916,4688916,0,23544,0.0050212031949388725,0.005841948152622056,0.005389,0.007667,0.010074,27.655831,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_1000000_rcvbuf_4000_sndbuf_default_run1.csv
1000000,4000,8000,default,default,2,4490568,4490568,0,247614,0.055140908677922255,0.008547729662706366,0.005371,0.007852,0.01037,462.653762,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_1000000_rcvbuf_4000_sndbuf_default_run2.csv
