rate_hz,rcvbuf_requested,rcvbuf_actual,sndbuf_requested,sndbuf_actual,runs,sample_count_avg,missing_delta_total_avg,missing_delta_total_max,missing_rate_avg,mean_latency_ms_avg,p50_latency_ms_avg,p95_latency_ms_avg,p99_latency_ms_avg,max_latency_ms_avg,max_latency_ms_max,parse_error_count_total,invalid_runs
140000,8000,16000,10000,20000,3,1380796.0,19202.0,57435,0.014300755616926467,0.022786520196744143,0.006777666666666667,0.007969333333333333,0.009512333333333333,419.2624296666666,1255.875294,0,0
140000,8000,16000,12000,24000,3,1399662.0,336.0,624,0.00024008709905939962,0.007346726436156516,0.006598666666666667,0.009000333333333334,0.010481666666666667,2.3518823333333336,3.723693,0,0
140000,8000,16000,16000,32000,3,1395790.0,4191.0,11913,0.003017994655753214,0.008469889504619662,0.007271666666666667,0.008919999999999999,0.01176533333333333,30.239564666666666,85.424301,0,0
140000,8000,16000,2000,4608,3,1399858.0,140.0,216,0.0001000151574009962,0.007430389348812672,0.007234666666666667,0.008543666666666666,0.012315333333333333,1.224965,1.875124,0,0
140000,8000,16000,4000,8000,3,1399440.0,558.0,1578,0.0003989967444132695,0.007634821383005786,0.007247,0.008542666666666665,0.010932333333333334,4.328975,11.615373,0,0
140000,8000,16000,8000,16000,3,1398255.0,1728.0,3765,0.0012369525102097836,0.007774871788069789,0.006357666666666667,0.009117333333333333,0.014041019999999552,12.467050333333333,27.009219,0,0
140000,12000,24000,10000,20000,3,1399856.0,135.0,405,9.645806003549656e-05,0.008100957159423567,0.007364,0.008678666666666666,0.011444333333333334,7.561838333333333,22.532442,0,0
140000,12000,24000,12000,24000,3,1391914.0,8069.0,23694,0.005860749494331166,0.017239537395631246,0.009073666666666667,0.009808666666666667,0.015049203333333367,156.76634466666667,465.873268,0,0
140000,12000,24000,16000,32000,3,1390162.0,9836.0,29205,0.007173879537367138,0.011737798826489088,0.006808666666666667,0.007975333333333333,0.009037333333333333,84.460033,250.157552,0,0
140000,12000,24000,2000,4608,3,1398770.0,1228.0,3264,0.0008789755754085945,0.007259072061005797,0.0062966666666666666,0.008401333333333334,0.011870666666666668,9.167005999999999,23.839454,0,0
140000,12000,24000,4000,8000,3,1388137.0,11860.0,34296,0.008676658805890422,0.012665349345239435,0.007796333333333333,0.008179,0.010670533333333053,85.36832166666666,245.459104,0,0
140000,12000,24000,8000,16000,3,1399291.0,707.0,1965,0.0005056624564567074,0.007205865221032676,0.006784333333333333,0.008037,0.009105333333333333,5.5066093333333335,14.55574,0,0
140000,16000,32000,10000,20000,3,1394130.0,5868.0,16596,0.004238948154090933,0.011628746815579715,0.006376333333333334,0.009666666666666665,0.015351666666666666,49.16458433333333,115.214016,0,0
140000,16000,32000,12000,24000,3,1398182.0,1816.0,4845,0.0013012126316599337,0.013323662022310466,0.0072896666666666665,0.009716,0.03217933333333333,55.003904999999996,159.46908,0,0
140000,16000,32000,16000,32000,3,1394400.0,5591.0,15444,0.004034899285049426,0.011218745211054917,0.007241,0.009642333333333334,0.017642,38.32492133333333,108.036632,0,0
140000,16000,32000,2000,4608,3,1391515.0,8483.0,25443,0.0061714254149313206,0.012064481340140121,0.006314666666666667,0.009438333333333333,0.011074333333333334,65.66113766666668,178.034535,0,0
140000,16000,32000,4000,8000,3,1391719.0,8279.0,23817,0.006011809685702849,0.01912399496309244,0.0072900000000000005,0.017383,0.026277333333333333,138.74854000000002,409.680802,0,0
140000,16000,32000,8000,16000,3,1391204.0,8793.0,24132,0.006381994903893671,0.01456166553403034,0.008228333333333332,0.009772000000000001,0.032129333333333336,71.20708466666666,204.305703,0,0
180000,8000,16000,10000,20000,3,1799288.0,706.0,831,0.0003923807820115877,0.008218926756549942,0.007074333333333333,0.010728000000000001,0.03252466666666667,3.408381,3.975547,0,0
180000,8000,16000,12000,24000,3,1799470.0,524.0,711,0.0002912051453347668,0.007005253096445272,0.006321,0.009407333333333334,0.016524666666666663,2.795795666666667,4.056379,0,0
180000,8000,16000,16000,32000,3,1792816.0,7178.0,20220,0.0040304237855168235,0.010816960650933424,0.006320666666666666,0.020759,0.06506733333333332,38.66492366666667,111.007338,0,0
180000,8000,16000,2000,4608,3,1795709.0,4285.0,10311,0.0023920591725248154,0.008678005134579173,0.006327,0.011314666666666667,0.04303066666666667,21.9173,56.249256,0,0
180000,8000,16000,4000,8000,3,1799484.0,510.0,1284,0.00028351024162442696,0.00763849250381737,0.0071790000000000005,0.008457,0.019679110000000413,14.787415666666666,40.072387,0,0
180000,8000,16000,8000,16000,3,1799197.0,797.0,1065,0.0004429878451125491,0.00903521800303647,0.007086333333333333,0.012431999999999999,0.04978366666666667,113.16510533333333,332.561573,0,0
180000,12000,24000,10000,20000,3,1798408.0,1586.0,4461,0.0008831711693529956,0.009250406399865461,0.006327333333333333,0.016876333333333333,0.06388866666666666,6.663830666666667,17.820571,0,0
180000,12000,24000,12000,24000,3,1798008.0,1986.0,4764,0.001105824939833796,0.015422107972720414,0.010370333333333334,0.036611333333333336,0.13311775333333373,8.277703666666666,19.236753,0,0
180000,12000,24000,16000,32000,3,1797181.0,2813.0,5931,0.001566738592764707,0.009394714820258878,0.0071849999999999995,0.014864333333333334,0.04562966666666667,13.698419999999999,32.120039,0,0
180000,12000,24000,2000,4608,3,1797737.0,2257.0,3969,0.0012559291246367493,0.010620085139919536,0.007691333333333334,0.01858,0.052018666666666664,10.193853,22.319227,0,0
180000,12000,24000,4000,8000,3,1798272.0,1701.0,3438,0.0009463708667887999,0.011215968182777251,0.007450999999999999,0.023543666666666668,0.07306568666666621,7.434964333333333,15.432057,0,0
180000,12000,24000,8000,16000,3,1786021.0,13956.0,39558,0.007918272185709934,0.012348812735327395,0.006321333333333334,0.016765333333333333,0.055919666666666666,76.35701833333333,220.011002,0,0
180000,16000,32000,10000,20000,3,1799553.0,431.0,738,0.00023951963070406625,0.007345081320310903,0.006284333333333334,0.007987666666666665,0.011407333333333334,8.814276666666666,23.004579,0,0
180000,16000,32000,12000,24000,3,1799313.0,681.0,1521,0.0003785904112198271,0.00786226814537678,0.006827,0.008864333333333333,0.025518333333333334,2.471087333333333,4.271805,0,0
180000,16000,32000,16000,32000,3,1799406.0,588.0,1437,0.0003268895412381814,0.009630814811838053,0.0074259999999999994,0.017858,0.053329343333332564,10.852611666666668,23.803522,0,0
180000,16000,32000,2000,4608,3,1786165.0,13829.0,39495,0.007847096895890337,0.013048980811428646,0.007247333333333334,0.015814333333333333,0.034036666666666666,75.58020766666667,218.425939,0,0
180000,16000,32000,4000,8000,3,1799697.0,297.0,510,0.00016503478916129446,0.00836255796006547,0.006333333333333333,0.014,0.051895,2.650877,3.4464,0,0
180000,16000,32000,8000,16000,3,1787730.0,12264.0,34167,0.0069364918754294055,0.010875438574375363,0.006284333333333334,0.008747,0.015623333333333335,67.25925866666667,186.501439,0,0
