rate_hz,rcvbuf_requested,rcvbuf_actual,runs,sample_count_avg,missing_delta_total_avg,missing_delta_total_max,missing_rate_avg,mean_latency_ms_avg,p50_latency_ms_avg,p95_latency_ms_avg,p99_latency_ms_avg,max_latency_ms_avg,max_latency_ms_max,parse_error_count_total,invalid_runs
5000,1000,2304,3,50001.0,3.0,9,6.000600060006e-05,0.01383997603208485,0.014364333333333333,0.015302333333333333,0.018536830000000004,1.5107936666666666,3.997271,0,0
5000,5000,10000,3,50004.0,0.0,0,0.0,0.014444887508999278,0.014573999999999998,0.015271666666666668,0.016196983333333345,0.16736966666666667,0.201703,0,0
5000,10000,20000,3,50004.0,0.0,0,0.0,0.01409805641548676,0.014426,0.015154333333333334,0.015913486666666674,1.437775,4.016011,0,0
5000,50000,100000,3,50004.0,0.0,0,0.0,0.014041169246460284,0.014456666666666666,0.015154333333333334,0.015932323333333335,0.16649966666666668,0.194851,0,0
5000,100000,200000,3,50004.0,0.0,0,0.0,0.014717815714742821,0.014500333333333332,0.015216,0.016098666666666667,1.605101333333333,4.236769,0,0
10000,1000,2304,3,99955.0,50.0,105,0.0005004103743599542,0.012644482997776008,0.011339666666666666,0.014450333333333334,0.015135666666666667,3.6862896666666667,6.86784,0,0
10000,5000,10000,3,100005.0,0.0,0,0.0,0.01260867693615319,0.013469333333333333,0.014228666666666667,0.015024666666666667,0.212697,0.246444,0,0
10000,10000,20000,3,100005.0,0.0,0,0.0,0.013179277576121196,0.012610999999999999,0.014333,0.016407666666666668,1.1409796666666667,2.494495,0,0
10000,50000,100000,3,100005.0,0.0,0,0.0,0.012864948392580372,0.012536666666666666,0.014395,0.016882333333333333,0.794474,1.444275,0,0
10000,100000,200000,3,100005.0,0.0,0,0.0,0.013666445797710114,0.013691,0.014438,0.016654333333333333,1.3363930000000002,3.190328,0,0
25000,1000,2304,3,249899.0,103.0,270,0.0004123940312893856,0.012182426103747866,0.012203666666666666,0.014160666666666667,0.014666333333333335,3.1428593333333334,7.409748,0,0
25000,5000,10000,3,249937.0,65.0,129,0.00026010995417821285,0.012906379990890018,0.012852,0.013574333333333334,0.015228333333333335,2.7688656666666667,4.19103,0,0
25000,10000,20000,3,249714.0,288.0,822,0.0011556156714426584,0.015550187399070811,0.012956333333333334,0.013864666666666666,0.016444666666666666,13.978613333333334,35.375128,0,0
25000,50000,100000,3,250002.0,0.0,0,0.0,0.0129568010375917,0.013296333333333334,0.013895,0.014673,1.4631456666666667,3.917882,0,0
25000,100000,200000,3,250002.0,0.0,0,0.0,0.012852587083303335,0.013351666666666666,0.013944333333333335,0.015740666666666667,0.6858263333333334,1.74059,0,0
50000,1000,2304,3,499871.0,118.0,336,0.00023616673943178458,0.009476706294282794,0.009777666666666667,0.011438666666666666,0.013290000000000001,1.1274183333333334,2.877663,0,0
50000,5000,10000,3,498182.0,1819.0,4575,0.0036666780733791773,0.017176000088670665,0.009857666666666667,0.011913333333333333,0.029469333333333333,109.66665166666667,318.644155,0,0
50000,10000,20000,3,499805.0,196.0,375,0.0003922327242183875,0.009785927308950651,0.009888666666666667,0.011802333333333333,0.012419666666666667,4.286901,6.224546,0,0
50000,50000,100000,3,500001.0,0.0,0,0.0,0.012382301119397763,0.011376666666666667,0.013327,0.013962666666666667,3.6402973333333333,5.787362,0,0
50000,100000,200000,3,499954.0,47.0,141,9.402632737166406e-05,0.015071707729459935,0.011031,0.012901000000000001,0.013747333333333334,7.732463333333333,14.971847,0,0
