rate_hz,rcvbuf_requested,rcvbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
10000,100000,200000,1,100005,100005,0,0,0.0,0.014040927643617819,0.013666,0.014536999999999998,0.019629,3.190328,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_10000_rcvbuf_100000_sndbuf_default_run1.csv
10000,100000,200000,2,100005,100005,0,0,0.0,0.013169517414129294,0.01374,0.014444,0.015204,0.518499,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_10000_rcvbuf_100000_sndbuf_default_run2.csv
10000,100000,200000,3,100005,100005,0,0,0.0,0.013788892335383232,0.013667,0.014333,0.01513,0.300352,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_10000_rcvbuf_100000_sndbuf_default_run3.csv
10000,10000,20000,1,100005,100005,0,0,0.0,0.01362978743062847,0.013537,0.014203,0.014963,0.192167,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_10000_rcvbuf_10000_sndbuf_default_run1.csv
10000,10000,20000,2,100005,100005,0,0,0.0,0.014026414609269537,0.013778,0.0145,0.01526,2.494495,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_10000_rcvbuf_10000_sndbuf_default_run2.csv
10000,10000,20000,3,100005,100005,0,0,0.0,0.011881630688465577,0.010518,0.014296,0.019,0.736277,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_10000_rcvbuf_10000_sndbuf_default_run3.csv
10000,1000,2304,1,100005,100005,0,0,0.0,0.012869849647517626,0.013388,0.014074,0.014741,0.293962,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_10000_rcvbuf_1000_sndbuf_default_run1.csv
10000,1000,2304,2,99960,99960,0,45,0.0004501800720288115,0.011862839225690276,0.010297,0.014185,0.014944000000000002,3.897067,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_10000_rcvbuf_1000_sndbuf_default_run2.csv
10000,1000,2304,3,99900,99900,0,105,0.001051051051051051,0.013200760120120121,0.010334,0.015092,0.015722,6.86784,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_10000_rcvbuf_1000_sndbuf_default_run3.csv
10000,50000,100000,1,100005,100005,0,0,0.0,0.013760702714864258,0.013648,0.014259,0.015074,0.611666,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_10000_rcvbuf_50000_sndbuf_default_run1.csv
