rate_hz,rcvbuf_requested,rcvbuf_actual,sndbuf_requested,sndbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
14000,12000,24000,10000,20000,1,140004,0,140004,0,0.00000000,0.013365716,0.013537000,0.014241000,0.019037000,2.650042000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_12000_sndbuf_10000_run1.csv
14000,12000,24000,10000,20000,2,139992,0,139992,12,0.00008572,0.013810260,0.011334000,0.014129000,0.014981000,6.311047000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_12000_sndbuf_10000_run2.csv
14000,12000,24000,10000,20000,3,140004,0,140004,0,0.00000000,0.011635113,0.011093000,0.014018000,0.018148970,0.414797000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_12000_sndbuf_10000_run3.csv
14000,12000,24000,12000,24000,1,140004,0,140004,0,0.00000000,0.013385830,0.013982000,0.014833000,0.021869460,0.217112000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_12000_sndbuf_12000_run1.csv
14000,12000,24000,12000,24000,2,140004,0,140004,0,0.00000000,0.013097599,0.013741000,0.014667000,0.015445000,0.139556000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_12000_sndbuf_12000_run2.csv
14000,12000,24000,12000,24000,3,140004,0,140004,0,0.00000000,0.014180655,0.013148000,0.013871000,0.018482000,4.477155000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_12000_sndbuf_12000_run3.csv
14000,12000,24000,16000,32000,1,140004,0,140004,0,0.00000000,0.012753863,0.013259000,0.013982000,0.018685000,0.443871000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_12000_sndbuf_16000_run1.csv
14000,12000,24000,16000,32000,2,140004,0,140004,0,0.00000000,0.012927129,0.013592000,0.014129000,0.014463000,0.228204000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_12000_sndbuf_16000_run2.csv
14000,12000,24000,16000,32000,3,140004,0,140004,0,0.00000000,0.012908138,0.013555000,0.014185000,0.014741000,0.195148000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_12000_sndbuf_16000_run3.csv
14000,12000,24000,2000,4608,1,139638,0,139638,366,0.00262106,0.045526221,0.013500000,0.014167000,0.015018000,60.103801000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_12000_sndbuf_2000_run1.csv
14000,12000,24000,2000,4608,2,140004,0,140004,0,0.00000000,0.013030364,0.013722000,0.014333000,0.014704000,0.081334000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_12000_sndbuf_2000_run2.csv
14000,12000,24000,2000,4608,3,140004,0,140004,0,0.00000000,0.012667506,0.013722000,0.014648000,0.015370000,0.121704000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_12000_sndbuf_2000_run3.csv
14000,12000,24000,4000,8000,1,140004,0,140004,0,0.00000000,0.012969178,0.013629000,0.014204000,0.014574000,0.084741000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_12000_sndbuf_4000_run1.csv
14000,12000,24000,4000,8000,2,140004,0,140004,0,0.00000000,0.014569398,0.013704000,0.014611000,0.019943460,5.273602000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_12000_sndbuf_4000_run2.csv
14000,12000,24000,4000,8000,3,140004,0,140004,0,0.00000000,0.013139859,0.013537000,0.014056000,0.014389000,0.088074000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_12000_sndbuf_4000_run3.csv
14000,12000,24000,8000,16000,1,140004,0,140004,0,0.00000000,0.012909975,0.013519000,0.014129000,0.014500000,0.543131000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_12000_sndbuf_8000_run1.csv
14000,12000,24000,8000,16000,2,140004,0,140004,0,0.00000000,0.011310007,0.009907000,0.014630000,0.017926000,0.551612000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_12000_sndbuf_8000_run2.csv
14000,12000,24000,8000,16000,3,140004,0,140004,0,0.00000000,0.010902858,0.009908000,0.013871000,0.014259000,0.475705000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_12000_sndbuf_8000_run3.csv
14000,16000,32000,10000,20000,1,140004,0,140004,0,0.00000000,0.013794007,0.013722000,0.014333000,0.014889000,0.216852000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_10000_run1.csv
14000,16000,32000,10000,20000,2,140004,0,140004,0,0.00000000,0.012351348,0.013352000,0.014056000,0.014537000,2.086967000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_10000_run2.csv
14000,16000,32000,10000,20000,3,140004,0,140004,0,0.00000000,0.009730401,0.009426000,0.010055000,0.011962000,1.778152000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_10000_run3.csv
14000,16000,32000,12000,24000,1,140004,0,140004,0,0.00000000,0.013235242,0.013519000,0.014074000,0.014445000,0.266797000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_12000_run1.csv
14000,16000,32000,12000,24000,2,140004,0,140004,0,0.00000000,0.013296807,0.013204000,0.013797000,0.014538000,0.195501000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_12000_run2.csv
14000,16000,32000,12000,24000,3,140004,0,140004,0,0.00000000,0.013183096,0.013797000,0.014889000,0.015481000,0.194204000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_12000_run3.csv
14000,16000,32000,16000,32000,1,140004,0,140004,0,0.00000000,0.012742955,0.013334000,0.014019000,0.014778000,0.207148000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_16000_run1.csv
14000,16000,32000,16000,32000,2,140004,0,140004,0,0.00000000,0.012982409,0.013685000,0.014260000,0.014630000,0.107815000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_16000_run2.csv
14000,16000,32000,16000,32000,3,140004,0,140004,0,0.00000000,0.011713693,0.012509000,0.014093000,0.014926000,0.471075000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_16000_run3.csv
14000,16000,32000,2000,4608,1,140004,0,140004,0,0.00000000,0.012870013,0.013519000,0.014093000,0.014500000,0.215667000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_2000_run1.csv
