mode,trial,raw_ok_frames,raw_missing_frames,raw_missing_rate,raw_avg_latency_ms,raw_p50_latency_ms,raw_p95_latency_ms,raw_p99_latency_ms,raw_max_latency_ms,avg_pps,avg_cpu_pct,max_cpu_pct,start_rate_hz,final_rate_hz,min_rate_hz,max_rate_hz,decrease_count,increase_count,hold_count
off,1,3517962,82035,0.02278751898959916,0.15522150112224067,0.007796,0.008092,0.011074,147.718078,36645.4375,33.3746875,37.77,120000,120000,120000,120000,0,0,30
off,2,3577896,22101,0.006139171782643152,0.06047918725474413,0.007777,0.008,0.009704,12.249085,37269.75,34.7996875,37.41,120000,120000,120000,120000,0,0,30
off,3,3577863,22134,0.006148338456948714,0.06016334495283917,0.007796,0.008037,0.011185,11.671741,37269.40625,34.9759375,37.6,120000,120000,120000,120000,0,0,30
off,4,3579003,20994,0.005831671526392939,0.05788800971583427,0.007778,0.008037,0.011037,12.024207,37281.28125,33.7953125,37.51,120000,120000,120000,120000,0,0,30
off,5,3509385,90612,0.025170020975017478,0.17018859278164125,0.007759,0.008074,0.008685,168.942896,36556.09375,32.0396875,37.39,120000,120000,120000,120000,0,0,30
off,6,3472455,127542,0.03542836285696905,1.2800369022579128,0.006352,0.008167,0.013037,6376.202193,36171.40625,27.911875,85.6,120000,120000,120000,120000,0,0,30
off,7,3543564,56433,0.015675846396538663,0.4136178843393262,0.006445,0.008037,0.013352,1919.481928,36912.125,30.340625,62.56,120000,120000,120000,120000,0,0,30
off,8,3393978,206019,0.05722754768962308,1.3193075909684742,0.006371,0.008074,0.014296,4667.420834,35353.9375,27.66375,74.45,120000,120000,120000,120000,0,0,30
off,9,3402447,197550,0.05487504572920478,1.0961006292065683,0.006407,0.008092,0.013833,4788.481333,35442.15625,28.2159375,85.68,120000,120000,120000,120000,0,0,30
off,10,3384318,215679,0.05991088325906938,1.4856569553623507,0.006297,0.008074,0.012815,5516.020136,35253.3125,26.8965625,85.83,120000,120000,120000,120000,0,0,30
on,1,1500414,133920,0.0819416349412054,3.3681002095701587,0.006463,0.009296,0.38996,6651.496361,15629.3125,13.3534375,54.37,120000,26979,26979,120000,8,6,16
on,2,2116620,13452,0.006315279483510417,0.12825814198486266,0.008463,0.008981,0.017148,296.904184,22048.125,21.1946875,29.79,120000,68674,54190,120000,6,16,8
on,3,2144061,1320,0.0006152753287178361,0.0404210504444603,0.008555,0.008982,0.012648,11.598967,22333.96875,22.6665625,37.02,120000,54937,54937,120000,7,16,7
on,4,1847313,40458,0.021431624916369622,2.4228500946942937,0.008203,0.009055,0.01224,6611.554884,19242.84375,17.11375,75.25,120000,68675,39321,120000,6,16,8
on,5,2208477,1236,0.0005593486574953398,0.039000803141712594,0.008352,0.008963,0.012407,9.317335,23004.96875,22.1753125,29.99,120000,54937,54937,120000,7,16,7
on,6,1692693,42885,0.024709347548770497,1.8513235725562756,0.007944,0.009167,0.012778,4405.168784,17632.21875,15.42375,37.14,120000,65405,36416,120000,6,15,9
on,7,2019408,72132,0.034487506813161595,1.1596567739327566,0.008297,0.009,0.017333,3398.598837,21035.5,19.781875,40.72,120000,68675,49152,120000,6,16,8
on,8,1426710,84207,0.05573237974025046,0.9450803149483777,0.008445,0.0095,0.225091,788.037367,14861.5625,13.4975,23.4,120000,31233,29745,120000,8,9,13
on,9,1838802,65439,0.03436487293362552,2.626083027497251,0.006648,0.008945,0.011388,7149.171146,19154.1875,16.1496875,81.9,120000,77862,39321,120000,5,14,11
on,10,2032671,34008,0.01645538566947262,0.17684891148198603,0.008556,0.008982,0.01237,436.72062,21173.65625,20.4925,29.63,120000,54939,49152,120000,7,16,7
